Datetime,NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),PM10 (ug/m3),PM2.5 (ug/m3),NH3 (ug/m3)
2019-11-11 23:00:00,15.62,13.6,0.85,19.23,71.25,38.75,10.28
2019-11-12 00:00:00,16.25,14.98,0.86,22.92,68.0,39.5,10.43
2019-11-12 01:00:00,15.92,8.28,0.88,15.43,71.25,43.75,10.62
2019-11-12 02:00:00,15.82,8.3,0.85,12.7,87.0,43.25,10.55
2019-11-12 03:00:00,14.98,8.67,0.87,12.25,80.75,44.25,10.77
2019-11-12 04:00:00,18.65,14.18,0.93,6.9,91.75,46.5,10.93
2019-11-12 05:00:00,17.95,11.38,0.88,7.7,99.75,49.0,11.1
2019-11-12 06:00:00,17.12,9.7,0.81,10.1,93.0,42.25,10.7
2019-11-12 07:00:00,13.62,4.47,0.72,14.3,76.5,40.5,11.1
2019-11-12 08:00:00,12.82,3.18,0.62,21.8,78.25,41.5,11.6
2019-11-12 09:00:00,10.35,,0.63,35.7,69.0,40.0,11.65
2019-11-12 10:00:00,7.82,,0.54,49.98,62.5,37.25,11.43
2019-11-12 11:00:00,9.25,3.4,0.49,49.23,49.5,27.5,11.25
2019-11-12 12:00:00,11.3,11.05,5.1,55.25,42.5,23.75,9.2
2019-11-12 13:00:00,18.5,14.6,0.46,57.7,45.0,26.0,14.03
2019-11-12 14:00:00,7.88,18.0,0.47,61.22,47.75,26.75,11.0
2019-11-12 15:00:00,8.57,19.18,0.58,62.17,47.0,28.75,8.27
2019-11-12 16:00:00,12.48,14.68,0.68,60.52,47.5,29.25,7.5
2019-11-12 17:00:00,17.4,17.88,0.72,55.25,52.5,32.25,11.0
2019-11-12 18:00:00,19.53,14.45,0.89,44.27,67.75,33.0,10.73
2019-11-12 19:00:00,21.7,14.18,0.75,39.27,84.0,41.75,10.68
2019-11-12 20:00:00,25.27,13.45,0.87,28.48,92.25,42.5,11.42
2019-11-12 21:00:00,12.98,12.3,0.69,33.08,88.0,43.75,11.43
2019-11-12 22:00:00,9.55,11.62,0.71,37.02,56.5,36.0,10.45
2019-11-12 23:00:00,11.5,12.55,0.73,32.83,62.75,41.0,10.0
2019-11-13 00:00:00,11.1,12.25,0.71,33.95,68.0,38.0,9.95
2019-11-13 01:00:00,10.05,11.17,0.64,32.1,57.5,31.75,9.88
2019-11-13 02:00:00,10.35,11.3,0.69,26.98,68.5,34.5,10.02
2019-11-13 03:00:00,9.62,10.8,0.7,30.6,79.25,45.75,10.15
2019-11-13 04:00:00,8.57,11.25,0.73,32.3,79.25,48.0,10.0
2019-11-13 05:00:00,8.15,11.25,0.73,28.52,77.0,48.0,10.17
2019-11-13 06:00:00,10.0,11.7,0.74,27.83,90.0,48.5,10.4
2019-11-13 07:00:00,10.05,12.28,0.67,29.6,83.0,67.0,10.53
2019-11-13 08:00:00,11.22,13.43,0.67,31.2,79.5,45.75,10.4
2019-11-13 09:00:00,9.52,11.75,0.64,41.25,75.25,44.0,10.8
2019-11-13 10:00:00,8.15,3.67,0.68,47.27,68.25,41.5,10.97
2019-11-13 11:00:00,10.38,1.68,0.65,55.83,71.0,40.75,10.48
2019-11-13 12:00:00,9.35,11.22,0.29,63.35,68.0,35.0,11.1
2019-11-13 13:00:00,17.45,15.9,0.45,69.8,67.75,37.75,13.18
2019-11-13 14:00:00,7.55,26.25,0.42,77.43,68.75,38.0,11.55
2019-11-13 15:00:00,8.2,22.02,0.47,79.5,74.0,42.0,11.88
2019-11-13 16:00:00,9.9,23.73,0.49,77.22,74.25,43.25,11.1
2019-11-13 17:00:00,10.15,22.15,0.54,78.1,77.75,45.75,10.8
2019-11-13 18:00:00,12.1,20.9,0.69,65.7,87.75,50.5,10.12
2019-11-13 19:00:00,12.53,14.77,0.68,57.43,91.25,49.75,11.53
2019-11-13 20:00:00,8.55,12.5,0.68,58.8,86.0,52.0,11.1
