Datetime,PM2.5 (ug/m3),PM10 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3)
2019-10-31 01:00:00,48.22,119.84,95.64,15.59,17.17,0.59,2.41
2019-10-31 02:00:00,48.0,117.0,83.86,16.81,18.91,0.55,2.96
2019-10-31 03:00:00,41.51,121.48,103.65,17.44,19.11,0.53,3.46
2019-10-31 04:00:00,46.55,127.38,104.65,19.86,16.98,0.46,3.08
2019-10-31 05:00:00,35.87,96.6,120.19,19.41,16.29,0.4,2.0
2019-10-31 06:00:00,33.14,113.7,140.38,19.73,17.19,0.41,2.39
2019-10-31 07:00:00,35.79,112.41,147.82,18.73,17.93,0.43,2.3
2019-10-31 08:00:00,31.35,120.97,112.0,18.52,18.27,0.41,2.42
2019-10-31 09:00:00,37.53,99.57,95.27,19.02,16.72,0.39,3.19
2019-10-31 10:00:00,26.87,85.3,61.23,20.73,18.05,0.35,5.73
2019-10-31 11:00:00,19.52,68.75,64.93,21.3,18.08,0.29,15.5
2019-10-31 12:00:00,19.0,55.3,59.9,21.57,17.26,0.26,22.65
2019-10-31 13:00:00,14.36,58.48,65.22,20.69,16.03,0.25,27.35
2019-10-31 14:00:00,20.5,63.5,61.72,19.59,16.68,0.25,33.06
2019-10-31 15:00:00,15.43,71.18,52.61,19.22,16.9,0.2,27.06
2019-10-31 16:00:00,9.45,51.37,48.31,18.05,16.95,0.2,26.41
2019-10-31 17:00:00,8.07,52.6,76.7,19.02,17.41,0.35,12.46
2019-10-31 18:00:00,16.35,85.3,73.7,16.62,15.43,0.3,4.62
2019-10-31 19:00:00,16.07,81.82,104.25,21.39,15.38,0.42,3.3
2019-10-31 20:00:00,50.33,146.5,161.35,19.19,18.64,0.68,3.36
2019-10-31 21:00:00,47.43,141.4,159.89,15.93,17.07,0.77,3.01
2019-10-31 22:00:00,46.07,152.55,204.66,13.29,19.15,0.88,2.83
2019-10-31 23:00:00,48.78,166.56,116.85,15.59,17.01,0.73,1.6
2019-11-01 00:00:00,33.23,114.17,111.84,15.79,16.48,0.68,1.67
2019-11-01 01:00:00,29.22,95.44,89.95,14.74,16.03,0.57,1.59
2019-11-01 02:00:00,26.22,82.3,77.44,14.31,15.54,0.48,1.83
2019-11-01 03:00:00,20.43,75.62,71.39,15.39,15.46,0.46,2.17
2019-11-01 04:00:00,27.4,73.2,100.77,15.36,15.85,0.42,1.79
2019-11-01 05:00:00,32.64,97.63,116.36,16.04,15.95,0.41,1.52
2019-11-01 06:00:00,32.07,117.46,133.48,18.64,15.87,0.38,2.51
2019-11-01 07:00:00,28.29,101.9,44.06,15.87,17.63,0.26,3.92
2019-11-01 08:00:00,8.52,47.1,38.2,13.91,16.01,0.24,3.49
2019-11-01 09:00:00,8.86,40.1,62.21,14.53,15.55,0.26,2.2
2019-11-01 10:00:00,15.5,46.28,54.72,17.75,16.5,0.28,5.34
2019-11-01 11:00:00,14.14,59.56,44.48,19.52,16.59,0.23,13.04
2019-11-01 12:00:00,10.29,49.34,39.87,19.6,17.6,0.18,23.87
2019-11-01 13:00:00,9.07,60.56,39.69,19.88,15.39,0.15,26.71
2019-11-01 14:00:00,8.07,59.31,36.1,20.96,15.56,0.14,39.53
2019-11-01 15:00:00,9.86,59.0,37.77,20.52,14.68,0.14,35.94
2019-11-01 16:00:00,7.22,52.72,33.56,18.24,13.69,0.12,35.63
2019-11-01 17:00:00,8.86,49.3,57.05,16.41,12.99,0.19,35.86
2019-11-01 18:00:00,20.12,69.0,69.28,17.78,13.75,0.28,22.52
2019-11-01 19:00:00,21.0,46.75,64.6,21.08,13.72,0.29,16.01
2019-11-01 20:00:00,24.71,34.6,47.3,21.95,13.2,0.29,11.34
2019-11-01 21:00:00,15.72,28.23,66.0,25.59,14.19,0.33,4.46
2019-11-01 22:00:00,17.78,27.0,56.63,27.14,13.43,0.29,5.36
2019-11-01 23:00:00,17.07,24.62,60.13,25.38,14.76,0.27,8.76
2019-11-02 00:00:00,23.48,27.6,33.06,23.77,13.73,0.22,16.89
2019-11-02 01:00:00,6.37,6.0,68.19,22.82,13.48,0.22,0.83
2019-11-02 02:00:00,7.79,,61.58,20.81,,,
2019-11-02 03:00:00,12.64,,46.28,20.21,,,
2019-11-02 04:00:00,10.22,,54.89,19.65,,,
2019-11-02 05:00:00,14.65,,80.17,16.98,,,
2019-11-02 06:00:00,13.14,,77.37,18.33,,,
2019-11-02 07:00:00,17.64,,87.63,19.13,,,
2019-11-02 08:00:00,18.93,,99.49,19.11,,,
2019-11-02 09:00:00,23.65,,88.71,21.09,,,
2019-11-02 10:00:00,24.93,59.0,73.82,22.81,16.11,0.32,2.64
2019-11-02 11:00:00,26.86,62.6,54.59,24.7,17.65,0.29,13.54
2019-11-02 12:00:00,14.94,46.85,54.28,25.15,16.68,0.21,17.92
2019-11-02 13:00:00,14.93,43.2,36.4,22.78,16.32,0.19,37.82
2019-11-02 14:00:00,12.22,38.53,18.36,20.55,15.42,0.14,35.21
2019-11-02 15:00:00,7.36,23.64,20.03,18.84,15.41,0.14,25.44
2019-11-02 16:00:00,4.21,30.07,26.45,20.55,16.02,0.15,23.11
2019-11-02 17:00:00,7.71,34.58,22.81,20.59,14.94,0.15,21.36
2019-11-02 18:00:00,8.0,34.1,25.58,18.02,14.09,0.15,17.17
2019-11-02 19:00:00,7.07,40.28,28.42,15.26,13.34,0.15,12.46
2019-11-02 20:00:00,11.62,41.0,41.47,13.32,12.98,0.12,8.68
2019-11-02 21:00:00,7.36,32.93,27.16,11.26,12.89,0.11,11.04
2019-11-02 22:00:00,10.71,37.38,85.1,10.99,13.36,0.17,1.6
2019-11-02 23:00:00,11.93,72.0,107.18,12.86,14.15,0.24,1.23
2019-11-03 00:00:00,16.65,89.05,99.0,12.54,13.89,0.28,1.8
2019-11-03 01:00:00,18.85,87.41,89.58,12.12,13.68,0.27,3.19
2019-11-03 02:00:00,20.86,87.9,54.97,11.15,12.9,0.25,2.99
2019-11-03 03:00:00,19.14,63.0,53.47,16.1,13.1,0.24,1.75
