Datetime,PM10 (ug/m3),PM2.5 (ug/m3),CO (mg/m3),NH3 (ug/m3),NOx (ppb),Ozone (ug/m3),SO2 (ug/m3)
2019-10-31 01:00:00,119.0,63.08,1.98,101.62,88.31,21.36,15.54
2019-10-31 02:00:00,111.67,51.05,1.79,85.9,75.41,21.29,11.66
2019-10-31 03:00:00,96.6,81.33,1.13,68.77,60.36,21.89,17.81
2019-10-31 04:00:00,107.47,67.77,1.0,71.3,62.76,20.7,48.68
2019-10-31 05:00:00,86.7,37.22,1.53,72.4,63.44,18.88,18.97
2019-10-31 06:00:00,101.78,69.6,1.62,77.28,67.75,19.7,15.19
2019-10-31 07:00:00,87.35,72.75,1.25,71.45,62.85,20.18,2.8
2019-10-31 08:00:00,124.6,113.15,0.85,101.35,88.53,19.19,36.71
2019-10-31 09:00:00,229.12,97.7,1.27,69.72,61.52,43.21,17.82
2019-10-31 10:00:00,227.7,65.0,1.72,81.17,71.94,64.52,20.69
2019-10-31 11:00:00,232.5,51.4,1.39,79.3,70.91,95.38,14.6
2019-10-31 12:00:00,233.7,58.8,0.83,44.65,39.7,112.78,0.45
2019-10-31 13:00:00,205.1,70.1,0.77,37.12,32.77,112.86,53.16
2019-10-31 14:00:00,170.7,45.27,1.0,37.17,33.25,106.41,22.39
2019-10-31 15:00:00,156.27,23.98,0.54,25.8,23.05,108.63,10.4
2019-10-31 16:00:00,142.88,15.0,0.57,30.9,27.74,91.93,17.02
2019-10-31 17:00:00,133.1,31.02,0.48,29.3,26.84,67.75,
2019-10-31 18:00:00,131.8,47.67,0.34,45.3,41.25,34.7,42.72
2019-10-31 19:00:00,161.4,31.1,1.52,65.3,58.49,19.54,24.02
2019-10-31 20:00:00,213.3,32.1,2.38,95.97,84.98,17.07,13.68
2019-10-31 21:00:00,243.25,61.08,3.42,149.85,130.06,16.04,12.09
2019-10-31 22:00:00,281.8,85.4,3.18,143.4,123.72,19.34,22.31
2019-10-31 23:00:00,245.95,86.6,2.85,123.5,106.28,19.41,20.7
2019-11-01 00:00:00,199.1,70.43,2.53,110.15,95.03,19.57,21.45
2019-11-01 01:00:00,159.95,37.27,2.09,94.95,81.88,17.89,9.44
2019-11-01 02:00:00,135.77,60.4,1.68,74.35,64.75,21.71,4.43
2019-11-01 03:00:00,120.1,59.42,1.44,71.8,62.66,24.1,41.09
2019-11-01 04:00:00,120.3,58.8,1.48,67.22,58.88,18.87,24.64
2019-11-01 05:00:00,96.9,36.1,1.36,63.58,55.47,18.05,15.29
2019-11-01 06:00:00,89.6,18.4,1.18,60.95,53.34,15.86,12.39
2019-11-01 07:00:00,90.4,19.38,0.92,55.33,48.53,23.14,1.25
2019-11-01 08:00:00,110.22,65.58,0.73,77.78,68.18,21.12,68.09
2019-11-01 09:00:00,128.1,39.7,1.51,80.85,71.81,56.02,12.82
2019-11-01 10:00:00,137.0,37.42,1.52,77.55,68.83,76.95,15.34
2019-11-01 11:00:00,102.57,47.58,1.24,77.5,69.23,88.44,19.93
2019-11-01 12:00:00,102.2,32.3,0.95,65.82,59.15,120.01,0.27
2019-11-01 13:00:00,99.45,49.48,1.1,52.92,47.43,124.59,33.53
2019-11-01 14:00:00,90.42,38.23,1.08,39.2,34.91,100.61,21.03
2019-11-01 15:00:00,71.4,23.8,0.7,35.8,32.24,94.76,19.2
2019-11-01 16:00:00,74.1,13.95,0.62,26.97,24.34,95.91,10.08
2019-11-01 17:00:00,65.03,22.38,0.69,33.88,30.74,46.56,36.45
2019-11-01 18:00:00,86.55,39.2,1.06,61.02,54.34,24.16,19.81
2019-11-01 19:00:00,155.3,53.25,1.26,70.47,63.41,21.53,9.84
2019-11-01 20:00:00,149.98,74.03,1.05,57.7,51.69,22.86,11.17
2019-11-01 21:00:00,120.98,37.6,0.61,40.9,37.19,28.66,0.3
2019-11-01 22:00:00,129.8,90.52,0.44,42.85,38.89,29.79,65.37
2019-11-01 23:00:00,180.93,46.92,0.92,44.08,39.97,23.98,13.73
2019-11-02 00:00:00,195.5,36.02,0.96,43.05,39.17,25.25,10.59
2019-11-02 01:00:00,199.3,33.7,0.71,40.2,36.3,22.59,14.13
2019-11-02 02:00:00,210.78,45.33,0.61,30.8,27.99,30.59,2.5
2019-11-02 03:00:00,225.5,73.8,0.83,37.77,34.3,36.45,52.74
2019-11-02 04:00:00,225.4,52.9,1.13,37.35,34.0,29.55,19.32
2019-11-02 05:00:00,248.82,68.68,0.89,36.85,33.64,32.21,15.33
2019-11-02 06:00:00,254.82,68.5,0.95,32.23,29.58,30.17,13.79
2019-11-02 07:00:00,252.9,74.7,0.59,26.35,24.3,44.28,41.14
2019-11-02 08:00:00,259.23,106.75,0.94,33.9,31.03,33.59,24.55
2019-11-02 09:00:00,255.75,64.57,1.35,36.98,33.9,91.67,9.19
2019-11-02 10:00:00,267.45,106.28,1.69,45.12,40.94,111.82,17.21
2019-11-02 11:00:00,253.3,81.88,1.6,57.95,52.47,121.88,5.27
2019-11-02 12:00:00,209.18,110.42,1.12,54.98,49.44,122.25,15.87
2019-11-02 13:00:00,,,0.73,45.3,40.1,120.42,10.81
2019-11-02 14:00:00,,,0.69,38.97,34.46,120.1,11.75
2019-11-02 15:00:00,,,1.19,36.53,32.78,117.68,32.53
2019-11-02 16:00:00,343.52,256.23,1.55,30.18,28.28,105.44,5.67
2019-11-02 17:00:00,386.8,333.8,1.06,38.15,35.16,65.53,17.43
