Datetime,CO (mg/m3),NOx (ppb),Ozone (ug/m3),PM2.5 (ug/m3),SO2 (ug/m3)
2019-11-03 13:00:00,0.78,30.39,26.4,92.75,11.22
2019-11-03 14:00:00,1.0,32.12,24.47,64.71,12.87
2019-11-03 15:00:00,1.07,31.99,24.77,44.52,15.7
2019-11-03 16:00:00,0.91,31.18,20.16,46.67,6.02
2019-11-03 17:00:00,1.13,31.5,20.97,63.84,8.26
2019-11-03 18:00:00,1.15,31.59,19.04,81.69,18.44
2019-11-03 19:00:00,1.27,33.36,10.12,85.8,5.92
2019-11-03 20:00:00,0.98,31.99,13.32,88.06,1.97
2019-11-03 21:00:00,0.84,35.92,6.21,99.94,0.02
2019-11-03 22:00:00,1.0,37.35,6.08,98.14,3.6
2019-11-03 23:00:00,1.07,44.23,5.86,113.63,8.38
2019-11-04 00:00:00,1.22,43.08,4.69,124.66,8.27
2019-11-04 01:00:00,1.16,41.52,5.86,142.44,8.56
2019-11-04 02:00:00,0.98,37.48,7.8,125.05,8.52
2019-11-04 03:00:00,0.98,35.66,9.11,107.32,8.16
2019-11-04 04:00:00,1.01,34.94,8.15,84.22,8.51
2019-11-04 05:00:00,1.08,36.48,6.38,102.02,8.77
2019-11-04 06:00:00,1.12,37.94,6.23,100.81,8.03
2019-11-04 07:00:00,1.16,40.39,6.15,113.21,8.71
2019-11-04 08:00:00,1.26,37.23,6.44,135.12,8.35
2019-11-04 09:00:00,1.37,33.77,14.69,118.09,8.36
2019-11-04 10:00:00,1.5,33.84,30.36,110.95,8.34
2019-11-04 11:00:00,1.35,32.26,44.93,124.65,3.74
2019-11-04 12:00:00,1.22,32.91,53.71,136.32,2.93
2019-11-04 13:00:00,1.23,33.11,52.66,122.17,7.16
2019-11-04 14:00:00,1.29,33.75,69.71,114.34,7.26
2019-11-04 15:00:00,1.33,33.75,61.41,109.52,10.71
2019-11-04 16:00:00,1.31,33.0,49.66,87.82,13.24
2019-11-04 17:00:00,1.27,31.9,44.05,126.73,13.32
2019-11-04 18:00:00,0.86,19.34,27.66,11.48,25.75
2019-11-04 19:00:00,1.09,35.55,17.66,54.1,2.25
2019-11-04 20:00:00,1.21,36.12,8.9,144.85,2.7
2019-11-04 21:00:00,1.51,37.95,8.63,135.63,1.62
2019-11-04 22:00:00,1.45,40.8,6.3,99.31,0.97
2019-11-04 23:00:00,1.72,49.59,6.58,123.6,2.31
2019-11-05 00:00:00,1.44,48.55,5.64,125.43,2.84
2019-11-05 01:00:00,1.32,46.23,6.83,140.53,4.22
2019-11-05 02:00:00,1.3,46.34,6.12,166.36,4.67
2019-11-05 03:00:00,1.21,44.03,5.87,145.63,5.97
2019-11-05 04:00:00,1.08,39.95,6.47,129.57,7.12
2019-11-05 05:00:00,1.13,36.66,7.78,116.09,7.67
2019-11-05 06:00:00,1.18,46.65,7.26,88.61,8.45
2019-11-05 07:00:00,1.23,58.43,4.31,93.03,8.69
2019-11-05 08:00:00,1.23,37.52,7.38,95.88,5.38
2019-11-05 09:00:00,1.34,35.22,10.8,98.96,4.52
2019-11-05 10:00:00,1.44,35.26,31.8,109.48,3.99
2019-11-05 11:00:00,1.37,38.17,57.2,61.65,3.78
2019-11-05 12:00:00,1.15,36.49,77.42,149.84,1.94
2019-11-05 13:00:00,1.17,33.54,77.04,117.83,3.75
2019-11-05 14:00:00,1.05,32.59,91.19,93.8,4.48
2019-11-05 15:00:00,1.06,33.68,82.22,89.21,4.08
2019-11-05 16:00:00,0.92,34.8,82.96,82.31,3.38
2019-11-05 17:00:00,0.94,36.33,61.19,94.1,2.08
2019-11-05 18:00:00,0.89,37.94,47.35,86.02,0.44
2019-11-05 19:00:00,0.97,38.08,37.46,93.38,1.18
2019-11-05 20:00:00,1.14,36.55,26.19,84.58,4.34
2019-11-05 21:00:00,1.45,35.04,25.25,82.97,4.29
2019-11-05 22:00:00,1.41,34.31,23.07,64.03,4.82
2019-11-05 23:00:00,1.46,35.83,19.06,77.9,5.32
2019-11-06 00:00:00,1.63,49.87,7.17,87.32,6.47
2019-11-06 01:00:00,1.21,50.08,5.9,122.69,6.66
2019-11-06 02:00:00,1.29,41.85,6.26,115.62,5.42
2019-11-06 03:00:00,1.19,38.42,6.51,123.79,5.92
2019-11-06 04:00:00,1.16,36.77,7.1,130.51,6.58
2019-11-06 05:00:00,1.08,33.23,8.21,115.62,6.59
2019-11-06 06:00:00,1.11,32.94,7.25,102.64,6.98
2019-11-06 07:00:00,1.15,36.72,6.39,91.74,7.26
2019-11-06 08:00:00,1.15,34.91,4.77,59.9,4.54
2019-11-06 09:00:00,1.34,28.28,9.02,18.36,2.54
2019-11-06 10:00:00,1.74,31.14,27.92,69.05,4.23
2019-11-06 11:00:00,1.27,33.55,56.86,102.87,3.89
2019-11-06 12:00:00,1.41,34.16,75.21,95.94,6.03
2019-11-06 13:00:00,1.4,32.91,69.82,94.0,5.16
2019-11-06 14:00:00,1.32,23.82,85.2,91.78,5.47
2019-11-06 15:00:00,1.41,26.1,81.31,83.98,5.76
2019-11-06 16:00:00,1.57,24.43,61.63,99.84,6.54
2019-11-06 17:00:00,1.17,25.24,67.97,105.71,6.4
2019-11-06 18:00:00,1.47,22.45,49.53,96.31,5.58
2019-11-06 19:00:00,3.79,22.89,21.79,111.47,3.38
2019-11-06 20:00:00,2.03,21.9,28.34,127.45,4.9
2019-11-06 21:00:00,1.85,21.52,32.39,126.23,4.92
2019-11-06 22:00:00,1.89,21.73,27.66,95.02,4.7
2019-11-06 23:00:00,1.97,27.64,17.84,96.53,4.97
2019-11-07 00:00:00,2.65,28.34,21.07,100.79,5.33
2019-11-07 01:00:00,3.34,48.7,5.53,120.59,6.8
2019-11-07 02:00:00,3.08,34.07,6.08,145.2,5.45
2019-11-07 03:00:00,3.1,30.59,7.4,142.87,6.2
2019-11-07 04:00:00,2.92,27.36,7.12,160.57,6.7
2019-11-07 05:00:00,1.12,25.64,7.35,156.24,7.03
2019-11-07 06:00:00,1.11,23.22,7.59,139.11,7.38
2019-11-07 07:00:00,1.01,27.37,6.97,138.07,7.51
2019-11-07 08:00:00,1.06,26.51,7.35,124.61,4.81
2019-11-07 09:00:00,1.12,20.69,14.06,118.64,3.97
2019-11-07 10:00:00,1.23,20.12,31.37,123.62,3.53
2019-11-07 11:00:00,1.44,25.67,46.1,127.71,4.27
2019-11-07 12:00:00,1.13,25.99,62.85,140.13,6.44
2019-11-07 13:00:00,1.19,25.19,88.72,115.84,6.64
2019-11-07 14:00:00,1.16,27.07,72.63,99.38,5.13
2019-11-07 15:00:00,1.19,26.71,70.27,109.84,4.91
2019-11-07 16:00:00,1.28,26.28,65.72,80.72,3.9
