Datetime,PM10 (ug/m3),PM2.5 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3)
2019-10-31 01:00:00,626.75,374.75,241.8,51.35,18.43,4.05,
2019-10-31 02:00:00,573.0,342.5,206.5,56.88,16.17,3.75,
2019-10-31 03:00:00,541.5,322.5,122.0,52.6,13.05,2.55,0.2
2019-10-31 04:00:00,458.0,279.75,88.03,48.48,13.38,2.3,0.75
2019-10-31 05:00:00,432.0,289.0,87.75,44.28,13.65,2.23,1.2
2019-10-31 06:00:00,419.5,282.0,128.7,49.05,15.55,2.42,0.7
2019-10-31 07:00:00,427.0,277.75,134.73,47.2,16.02,2.52,
2019-10-31 08:00:00,422.5,273.5,127.58,46.07,15.78,2.52,
2019-10-31 09:00:00,423.0,286.0,158.55,55.65,22.42,2.7,
2019-10-31 10:00:00,509.5,316.25,125.58,62.85,55.55,2.73,
2019-10-31 11:00:00,663.75,395.5,64.1,69.18,49.38,2.73,
2019-10-31 12:00:00,744.25,443.75,45.8,76.5,39.8,2.77,
2019-10-31 13:00:00,757.25,462.5,39.2,65.88,28.03,2.17,
2019-10-31 14:00:00,597.25,409.75,36.65,58.77,23.62,2.0,
2019-10-31 15:00:00,493.0,355.0,31.75,52.3,21.08,1.92,
2019-10-31 16:00:00,467.0,332.0,,,,,
2019-10-31 17:00:00,467.0,332.0,28.23,44.47,23.75,1.9,46.0
2019-10-31 18:00:00,481.0,287.0,61.7,52.73,21.8,2.3,29.57
2019-10-31 19:00:00,559.5,325.5,106.28,60.35,20.7,3.12,2.1
2019-10-31 20:00:00,625.5,379.0,98.55,61.8,20.18,2.92,1.8
2019-10-31 21:00:00,618.5,402.0,123.88,64.62,18.88,3.38,1.38
2019-10-31 22:00:00,667.0,422.0,147.4,67.62,19.6,3.58,0.35
2019-10-31 23:00:00,693.5,431.5,147.55,66.67,19.23,3.45,0.83
2019-11-01 00:00:00,668.5,426.0,117.53,68.35,16.35,2.95,2.17
2019-11-01 01:00:00,613.5,409.5,95.65,65.58,15.55,3.08,1.55
2019-11-01 02:00:00,615.5,419.5,134.2,68.97,14.0,3.92,1.25
2019-11-01 03:00:00,684.5,460.0,97.75,68.6,12.75,3.55,1.3
2019-11-01 04:00:00,719.0,504.0,71.9,69.2,12.0,3.5,
2019-11-01 05:00:00,693.0,507.0,58.52,63.83,12.78,3.23,
2019-11-01 06:00:00,645.0,483.5,55.7,64.65,15.33,3.12,1.3
2019-11-01 07:00:00,635.0,482.0,52.73,65.22,14.82,2.92,1.23
2019-11-01 08:00:00,629.5,478.5,69.15,67.25,14.97,3.12,1.57
2019-11-01 09:00:00,683.5,504.0,96.88,67.83,19.05,3.47,1.95
2019-11-01 10:00:00,769.5,531.0,61.5,71.98,,2.75,22.57
2019-11-01 11:00:00,719.5,476.0,45.85,65.68,33.95,2.12,62.27
2019-11-01 12:00:00,533.0,346.5,37.0,55.23,33.17,1.52,101.15
2019-11-01 13:00:00,426.5,281.0,33.8,54.75,33.72,0.32,126.0
2019-11-01 14:00:00,449.5,301.5,35.55,53.53,34.4,0.5,150.85
2019-11-01 15:00:00,499.5,328.5,34.7,55.55,34.8,0.52,150.62
2019-11-01 16:00:00,411.5,269.5,27.78,41.35,25.35,,110.17
2019-11-01 17:00:00,316.5,189.0,25.15,37.25,23.12,,77.35
2019-11-01 18:00:00,383.0,204.5,32.27,40.72,24.1,0.1,62.22
2019-11-01 19:00:00,422.5,234.5,50.12,45.53,23.65,0.47,28.43
2019-11-01 20:00:00,441.5,258.5,51.45,47.78,24.1,0.53,28.25
2019-11-01 21:00:00,441.5,259.5,49.2,45.62,20.85,0.5,19.6
2019-11-01 22:00:00,413.5,228.5,59.05,41.0,17.68,0.55,2.98
2019-11-01 23:00:00,379.0,204.5,54.35,40.55,19.23,0.25,8.4
2019-11-02 00:00:00,330.0,191.5,47.17,35.9,20.88,0.1,7.78
2019-11-02 01:00:00,307.0,186.0,45.88,38.42,19.52,0.1,9.15
2019-11-02 02:00:00,313.0,198.0,42.25,37.5,19.27,0.15,2.9
2019-11-02 03:00:00,350.0,223.5,80.85,37.35,19.25,0.55,0.55
2019-11-02 04:00:00,402.0,255.5,65.8,38.55,18.3,0.5,
2019-11-02 05:00:00,413.0,275.5,47.12,38.73,18.35,0.32,0.75
2019-11-02 06:00:00,401.0,290.5,49.0,42.73,19.58,0.4,0.88
2019-11-02 07:00:00,409.0,302.0,62.95,46.8,19.68,0.28,
2019-11-02 08:00:00,437.5,304.5,69.62,45.25,22.4,0.35,0.57
2019-11-02 09:00:00,482.5,331.0,61.83,49.12,32.85,0.62,3.15
2019-11-02 10:00:00,573.0,395.5,62.15,56.65,42.67,0.88,8.93
2019-11-02 11:00:00,648.0,436.0,46.88,54.8,46.77,0.78,29.25
2019-11-02 12:00:00,620.0,406.0,39.1,43.85,43.3,0.5,71.38
2019-11-02 13:00:00,543.0,350.5,32.1,43.9,33.33,0.33,99.43
2019-11-02 14:00:00,419.5,274.5,27.05,35.62,21.55,,95.97
2019-11-02 15:00:00,341.5,228.0,26.9,41.18,20.55,0.2,94.67
2019-11-02 16:00:00,380.0,260.0,32.1,43.85,20.52,0.1,78.3
2019-11-02 17:00:00,444.5,315.0,38.12,53.25,22.25,0.62,49.53
2019-11-02 18:00:00,557.5,408.0,43.35,60.9,24.3,0.78,36.7
2019-11-02 19:00:00,565.5,425.0,44.52,53.92,20.25,0.32,22.62
2019-11-02 20:00:00,500.5,378.5,51.97,54.65,19.27,0.55,8.62
2019-11-02 21:00:00,532.0,403.0,57.12,55.35,19.57,0.78,3.0
2019-11-02 22:00:00,572.5,437.0,56.92,50.98,19.02,1.07,2.72
2019-11-02 23:00:00,622.5,481.5,58.1,48.67,19.5,1.25,2.5
2019-11-03 00:00:00,669.0,528.5,72.8,52.42,20.78,1.25,0.65
2019-11-03 01:00:00,720.0,561.5,60.38,55.7,21.7,0.2,2.0
2019-11-03 02:00:00,764.0,591.5,56.9,55.65,21.27,0.35,1.5
2019-11-03 03:00:00,805.5,631.5,58.8,76.7,21.0,0.75,1.1
2019-11-03 04:00:00,903.5,714.5,,78.95,22.2,0.97,1.12
2019-11-03 05:00:00,970.0,784.0,,84.15,21.02,1.0,0.88
2019-11-03 06:00:00,,810.0,,79.9,19.12,0.78,1.07
2019-11-03 07:00:00,983.0,801.0,,79.95,18.8,0.28,
2019-11-03 08:00:00,983.0,771.0,,77.9,20.65,0.35,
2019-11-03 09:00:00,,807.0,,84.35,21.75,0.85,
2019-11-03 10:00:00,,921.5,,88.88,24.17,1.15,
2019-11-03 11:00:00,,992.0,,85.38,24.42,1.07,
2019-11-03 12:00:00,,870.0,,78.1,22.6,0.4,
2019-11-03 13:00:00,,845.5,,80.6,22.65,0.12,
2019-11-03 14:00:00,,856.5,,79.97,22.3,0.1,
2019-11-03 15:00:00,,870.5,,80.55,20.7,,
2019-11-03 16:00:00,930.0,784.5,,77.72,19.95,,
2019-11-03 17:00:00,939.0,730.0,,76.72,21.8,,
2019-11-03 18:00:00,948.0,768.0,,80.08,19.62,0.2,
2019-11-03 19:00:00,,811.5,,80.42,19.93,0.4,
2019-11-03 20:00:00,991.0,788.0,,73.43,18.57,0.2,
2019-11-03 21:00:00,858.0,651.5,,56.52,16.55,,
2019-11-03 22:00:00,582.5,441.0,,44.6,15.3,,
2019-11-03 23:00:00,405.0,298.5,,42.1,14.88,,
2019-11-04 00:00:00,381.5,276.0,,46.85,15.1,,
2019-11-04 01:00:00,490.5,354.0,,55.6,16.98,0.53,
2019-11-04 02:00:00,646.5,483.5,,68.7,19.5,0.93,
2019-11-04 03:00:00,781.0,603.0,,56.25,19.45,1.15,
2019-11-04 04:00:00,871.5,681.5,,54.8,19.6,1.38,
2019-11-04 05:00:00,915.5,720.5,,58.15,19.88,1.5,
2019-11-04 06:00:00,937.5,729.0,,58.5,19.02,1.27,
2019-11-04 07:00:00,889.5,692.0,,55.83,18.62,0.28,
2019-11-04 08:00:00,831.5,655.5,,52.83,19.32,0.2,
2019-11-04 09:00:00,803.0,631.0,,45.28,23.85,0.25,
2019-11-04 10:00:00,625.0,477.0,,37.25,23.23,,
2019-11-04 11:00:00,398.0,287.5,,34.27,23.1,,
2019-11-04 12:00:00,263.5,183.5,,26.75,20.48,,
2019-11-04 13:00:00,187.5,116.5,,29.28,19.3,0.18,
2019-11-04 14:00:00,177.0,104.0,5.47,31.95,17.27,0.1,21.35
2019-11-04 15:00:00,157.0,91.0,11.35,31.6,16.75,,30.05
2019-11-04 16:00:00,137.0,74.5,14.6,28.7,17.3,,32.85
2019-11-04 17:00:00,118.0,63.5,17.8,25.52,17.2,,31.75
2019-11-04 18:00:00,141.0,61.0,24.85,23.8,17.02,0.2,21.95
2019-11-04 19:00:00,213.0,83.0,38.75,26.05,18.32,0.38,10.65
2019-11-04 20:00:00,267.5,115.0,41.0,28.52,23.35,0.43,
2019-11-04 21:00:00,272.0,133.5,33.55,29.38,27.4,0.38,
2019-11-04 22:00:00,267.0,150.5,30.05,30.05,27.73,0.48,
2019-11-04 23:00:00,316.0,215.0,27.75,37.55,27.73,0.9,
2019-11-05 00:00:00,416.0,367.0,30.98,42.45,27.8,0.97,
2019-11-05 01:00:00,490.5,378.0,30.62,43.8,28.35,0.35,
2019-11-05 02:00:00,545.5,414.0,33.2,48.35,28.55,0.57,
2019-11-05 03:00:00,594.0,454.5,34.5,51.95,26.8,0.65,
2019-11-05 04:00:00,617.5,468.0,35.55,47.35,26.88,0.65,
2019-11-05 05:00:00,611.5,465.5,32.48,45.65,26.62,0.6,
2019-11-05 06:00:00,576.0,449.0,34.05,42.38,22.48,0.5,
2019-11-05 07:00:00,526.5,399.0,31.35,40.85,20.88,0.12,
2019-11-05 08:00:00,479.5,345.5,32.5,36.12,24.15,0.1,
2019-11-05 09:00:00,424.5,293.0,28.57,32.3,34.45,,
2019-11-05 10:00:00,337.5,220.0,23.9,28.55,31.42,,
2019-11-05 11:00:00,246.5,148.0,19.98,22.18,26.5,,
2019-11-05 12:00:00,187.5,97.0,18.95,23.62,21.55,,
2019-11-05 13:00:00,153.0,70.0,19.0,23.9,15.97,0.2,
2019-11-05 14:00:00,130.5,61.5,19.85,26.38,12.95,0.15,
2019-11-05 15:00:00,133.5,59.5,20.73,22.27,11.88,0.1,
2019-11-05 16:00:00,130.0,54.5,21.08,23.23,11.9,0.12,
2019-11-05 17:00:00,137.0,62.5,22.97,20.32,14.55,0.38,
2019-11-05 18:00:00,179.0,75.5,31.47,21.35,16.45,0.5,
2019-11-05 19:00:00,211.5,88.5,63.5,21.18,16.33,0.68,
2019-11-05 20:00:00,301.0,120.0,100.15,22.93,19.45,1.35,
2019-11-05 21:00:00,421.0,150.5,120.08,25.65,21.0,1.7,
2019-11-05 22:00:00,376.0,144.0,80.25,24.5,20.73,0.9,
2019-11-05 23:00:00,272.5,129.5,78.02,25.7,19.55,0.82,
2019-11-06 00:00:00,312.0,144.5,96.0,29.2,19.7,0.97,
2019-11-06 01:00:00,333.5,164.5,71.78,31.17,20.05,0.2,
2019-11-06 02:00:00,294.0,169.5,89.05,27.12,19.9,0.25,
2019-11-06 03:00:00,325.0,189.0,125.45,34.2,21.75,1.1,
2019-11-06 04:00:00,336.0,192.0,116.9,25.9,20.28,0.55,
2019-11-06 05:00:00,286.5,157.0,69.38,24.05,18.25,0.2,
2019-11-06 06:00:00,229.0,132.0,62.53,23.25,15.6,0.3,
2019-11-06 07:00:00,216.5,122.5,84.78,23.4,14.85,0.38,
2019-11-06 08:00:00,232.0,124.5,78.05,24.35,15.52,0.35,
2019-11-06 09:00:00,244.5,130.0,70.07,22.35,19.82,0.25,
2019-11-06 10:00:00,250.75,133.0,54.38,25.15,24.48,,
2019-11-06 11:00:00,251.25,115.25,59.4,27.8,29.15,0.55,
2019-11-06 12:00:00,331.5,164.0,62.65,31.12,30.45,0.57,
2019-11-06 13:00:00,349.25,178.5,39.02,24.35,19.15,,
2019-11-06 14:00:00,179.25,85.25,30.45,22.4,14.5,,
2019-11-06 15:00:00,109.25,50.25,23.25,18.23,12.73,,2.9
2019-11-06 16:00:00,86.5,41.5,18.35,17.92,12.65,,
2019-11-06 17:00:00,92.25,40.0,22.25,17.43,13.68,,
2019-11-06 18:00:00,145.5,46.0,33.5,24.73,17.08,0.2,
2019-11-06 19:00:00,250.0,71.5,41.85,28.7,17.85,0.62,
2019-11-06 20:00:00,206.5,95.5,65.5,22.2,18.18,1.08,
2019-11-06 21:00:00,230.0,102.75,70.15,26.85,18.72,1.2,
2019-11-06 22:00:00,238.5,114.25,83.85,28.58,18.18,1.5,
2019-11-06 23:00:00,256.5,125.0,85.25,31.9,18.85,1.5,
2019-11-07 00:00:00,256.75,126.75,75.25,29.68,18.32,1.05,
2019-11-07 01:00:00,243.75,124.5,66.22,33.28,18.25,0.23,
2019-11-07 02:00:00,243.5,130.5,60.12,32.17,18.0,0.1,
2019-11-07 03:00:00,239.5,132.5,51.7,35.9,15.55,,
2019-11-07 04:00:00,225.75,127.25,51.48,29.65,23.5,0.25,
2019-11-07 05:00:00,235.5,138.5,39.5,30.0,24.18,,
2019-11-07 06:00:00,243.75,157.5,34.5,27.98,31.78,0.2,
2019-11-07 07:00:00,254.25,173.25,32.8,30.15,29.53,0.25,
2019-11-07 08:00:00,258.75,174.0,37.67,35.6,30.7,0.23,
2019-11-07 09:00:00,277.5,182.0,37.38,35.4,29.55,0.23,
2019-11-07 10:00:00,287.0,182.5,40.83,38.17,29.2,0.35,
2019-11-07 11:00:00,334.0,200.75,40.12,36.4,23.5,0.47,
2019-11-07 12:00:00,338.5,224.0,38.62,37.77,14.4,0.43,
2019-11-07 13:00:00,309.25,225.5,44.92,42.17,14.35,0.38,
2019-11-07 14:00:00,311.0,222.5,45.88,41.65,18.48,0.25,
2019-11-07 15:00:00,292.0,195.0,37.0,39.23,21.12,0.1,
2019-11-07 16:00:00,270.25,175.0,30.55,38.62,19.45,,
2019-11-07 17:00:00,242.75,163.0,30.38,35.77,18.2,,
2019-11-07 18:00:00,249.0,173.5,34.22,35.1,20.0,0.1,
2019-11-07 19:00:00,246.25,175.0,36.52,38.83,19.8,0.12,
2019-11-07 20:00:00,230.0,165.25,39.73,41.85,21.05,0.15,
2019-11-07 21:00:00,233.0,164.0,42.05,42.73,18.55,0.2,
2019-11-07 22:00:00,230.25,166.75,37.73,41.95,17.95,0.28,
2019-11-07 23:00:00,220.5,165.25,36.35,41.47,16.82,0.25,
2019-11-08 00:00:00,216.0,162.25,40.85,44.2,13.4,0.3,
2019-11-08 01:00:00,211.75,156.75,40.45,36.73,12.57,0.12,
2019-11-08 02:00:00,198.0,145.25,47.97,38.55,12.2,0.23,
2019-11-08 03:00:00,212.75,147.75,75.55,47.3,14.75,0.5,
2019-11-08 04:00:00,254.0,163.5,46.77,39.77,13.15,0.32,
2019-11-08 05:00:00,218.25,143.25,52.3,35.75,13.43,0.3,
2019-11-08 06:00:00,210.75,145.75,45.03,36.85,15.92,0.12,
2019-11-08 07:00:00,182.5,131.75,43.35,36.85,15.03,0.23,
2019-11-08 08:00:00,176.0,129.5,51.67,39.48,18.83,0.35,
2019-11-08 09:00:00,190.75,134.5,52.12,41.2,24.92,0.18,
2019-11-08 10:00:00,195.0,130.0,38.27,39.83,37.88,,
2019-11-08 11:00:00,175.5,105.5,32.85,34.52,32.85,,
2019-11-08 12:00:00,139.5,79.0,25.88,28.23,20.35,0.1,
2019-11-08 13:00:00,107.25,60.5,28.25,27.65,22.95,0.55,
2019-11-08 14:00:00,142.5,76.0,29.77,30.35,28.05,0.57,
2019-11-08 15:00:00,169.25,95.75,25.53,27.85,22.25,0.47,
2019-11-08 16:00:00,151.0,81.5,24.02,28.6,20.4,0.45,
2019-11-08 17:00:00,136.75,74.25,28.85,33.15,18.93,0.4,
2019-11-08 18:00:00,133.75,67.0,38.3,36.35,19.5,0.47,13.83
2019-11-08 19:00:00,169.0,79.5,58.48,41.35,20.85,0.47,1.43
2019-11-08 20:00:00,262.75,118.5,78.17,46.05,22.55,0.88,1.62
2019-11-08 21:00:00,322.25,154.5,79.72,44.88,26.62,1.02,1.55
2019-11-08 22:00:00,314.5,173.5,82.88,53.55,29.05,1.23,1.7
2019-11-08 23:00:00,358.75,195.0,104.53,51.23,27.73,1.5,1.38
2019-11-09 00:00:00,438.75,214.0,187.3,64.88,25.8,1.6,1.27
2019-11-09 01:00:00,495.25,217.75,128.8,53.33,22.68,,1.45
2019-11-09 02:00:00,335.75,193.0,51.5,39.88,19.65,,1.65
2019-11-09 03:00:00,241.0,153.5,38.4,43.4,18.45,,1.4
2019-11-09 04:00:00,269.75,184.25,41.22,41.82,18.77,,1.45
2019-11-09 05:00:00,277.75,199.75,42.6,44.85,21.02,,1.4
2019-11-09 06:00:00,257.0,196.25,41.0,39.3,20.48,,1.58
2019-11-09 07:00:00,245.25,186.75,39.65,42.1,18.58,0.25,1.55
2019-11-09 08:00:00,238.25,190.25,39.5,42.0,20.07,0.28,1.43
2019-11-09 09:00:00,264.0,204.75,33.7,38.05,29.62,0.1,1.6
2019-11-09 10:00:00,238.5,171.0,31.5,36.7,36.4,,1.4
2019-11-09 11:00:00,188.25,122.0,26.2,29.62,27.98,,1.6
2019-11-09 12:00:00,125.5,75.5,23.7,27.95,20.1,,1.62
2019-11-09 13:00:00,109.25,53.0,22.43,27.95,16.03,0.2,1.55
2019-11-09 14:00:00,110.75,39.0,19.42,25.88,14.38,0.12,1.35
2019-11-09 15:00:00,83.0,31.25,17.65,24.02,13.12,0.1,1.45
2019-11-09 16:00:00,80.5,35.75,19.0,30.18,14.65,0.1,1.42
2019-11-09 17:00:00,99.75,41.0,20.82,26.9,14.6,0.1,1.68
2019-11-09 18:00:00,114.75,59.5,29.15,35.3,21.65,0.32,1.52
2019-11-09 19:00:00,173.0,92.5,39.53,38.23,19.35,0.6,1.5
2019-11-09 20:00:00,216.75,117.5,40.27,39.0,19.55,0.8,1.6
2019-11-09 21:00:00,248.75,153.0,39.92,35.1,20.45,0.88,1.45
2019-11-09 22:00:00,254.0,165.25,40.57,38.67,20.7,0.95,1.5
2019-11-09 23:00:00,271.0,191.0,37.55,36.17,20.4,0.9,1.65
2019-11-10 00:00:00,285.75,189.25,47.33,40.65,19.12,0.82,1.45
2019-11-10 01:00:00,337.0,210.0,42.95,39.77,19.75,0.3,1.38
2019-11-10 02:00:00,339.75,242.5,36.65,42.25,18.55,0.3,1.45
2019-11-10 03:00:00,371.5,272.25,54.75,43.55,20.15,0.4,1.43
2019-11-10 04:00:00,392.5,290.25,49.12,46.92,19.9,0.38,1.57
2019-11-10 05:00:00,398.75,301.5,34.9,41.1,19.7,0.2,1.33
2019-11-10 06:00:00,371.5,286.0,41.0,41.82,18.55,0.23,1.27
2019-11-10 07:00:00,353.25,280.0,45.55,42.33,17.73,0.48,1.15
2019-11-10 08:00:00,348.75,263.0,48.65,41.28,21.32,0.53,1.6
2019-11-10 09:00:00,356.25,263.0,38.9,36.5,30.15,0.43,1.38
2019-11-10 10:00:00,369.5,259.0,33.83,36.88,37.65,0.43,1.6
2019-11-10 11:00:00,360.75,238.75,32.15,35.23,36.4,0.38,1.55
2019-11-10 12:00:00,339.0,220.0,26.38,30.2,32.58,0.15,1.43
2019-11-10 13:00:00,258.5,184.0,22.25,26.48,26.7,0.15,1.55
2019-11-10 14:00:00,168.75,105.0,20.8,25.32,26.38,,1.38
2019-11-10 15:00:00,129.75,74.0,19.67,27.65,17.7,,1.35
2019-11-10 16:00:00,109.25,63.25,20.5,29.25,16.12,,1.2
2019-11-10 17:00:00,119.75,65.5,22.65,28.27,15.68,,1.55
2019-11-10 18:00:00,125.75,63.75,31.4,32.92,19.93,0.2,1.23
2019-11-10 19:00:00,189.25,81.0,62.05,38.48,19.85,0.6,1.52
2019-11-10 20:00:00,274.25,118.25,54.17,37.38,25.88,0.95,1.52
2019-11-10 21:00:00,322.25,158.0,93.83,42.9,26.43,1.38,1.52
2019-11-10 22:00:00,377.0,188.0,70.27,40.15,28.02,1.15,1.3
2019-11-10 23:00:00,355.75,201.5,66.85,39.03,32.38,1.2,1.32
2019-11-11 00:00:00,347.0,218.25,72.67,41.3,39.33,1.0,1.42
2019-11-11 01:00:00,340.0,218.5,71.47,40.75,32.45,0.15,1.12
2019-11-11 02:00:00,321.25,191.5,57.83,37.7,31.2,0.1,1.5
2019-11-11 03:00:00,364.5,215.5,46.8,47.1,30.5,0.35,1.72
2019-11-11 04:00:00,407.25,287.0,49.5,45.48,30.15,0.4,1.25
2019-11-11 05:00:00,460.5,332.0,82.35,52.08,34.0,0.6,1.52
2019-11-11 06:00:00,489.5,347.25,76.75,49.05,27.45,0.55,1.65
2019-11-11 07:00:00,477.75,349.0,52.23,43.23,21.02,0.35,1.4
2019-11-11 08:00:00,478.75,380.5,58.05,48.23,23.62,0.5,1.35
2019-11-11 09:00:00,539.0,394.25,67.3,50.6,37.33,0.85,1.52
2019-11-11 10:00:00,603.5,436.75,47.12,44.73,41.23,0.68,1.52
2019-11-11 11:00:00,631.25,469.0,43.95,43.47,42.9,0.57,1.43
2019-11-11 12:00:00,595.0,400.75,27.27,31.62,31.75,0.1,1.35
2019-11-11 13:00:00,402.5,282.0,25.6,31.4,31.12,0.15,1.4
2019-11-11 14:00:00,273.0,202.25,23.67,31.75,24.93,,1.33
2019-11-11 15:00:00,205.5,151.75,22.62,30.62,18.2,,1.73
2019-11-11 16:00:00,177.75,117.75,21.55,31.08,15.33,,1.27
2019-11-11 17:00:00,159.0,97.75,23.77,32.15,15.03,,1.4
2019-11-11 18:00:00,174.0,98.25,35.65,30.7,20.7,0.2,1.65
2019-11-11 19:00:00,249.5,119.0,58.45,36.45,20.27,0.47,1.57
2019-11-11 20:00:00,284.0,151.0,65.75,36.35,19.38,0.62,1.6
2019-11-11 21:00:00,352.5,185.25,64.88,41.02,20.85,0.72,1.4
2019-11-11 22:00:00,366.5,227.75,82.83,45.9,18.9,1.1,1.35
2019-11-11 23:00:00,452.25,278.0,129.25,56.78,17.95,1.48,1.43
2019-11-12 00:00:00,512.25,341.25,142.6,60.35,17.43,1.75,1.6
2019-11-12 01:00:00,578.0,394.25,154.62,61.95,17.05,0.1,1.32
2019-11-12 02:00:00,583.75,396.25,148.6,61.02,17.75,0.4,1.1
2019-11-12 03:00:00,640.75,429.0,150.9,56.4,16.3,,1.45
2019-11-12 04:00:00,639.0,462.0,135.15,60.15,16.08,,1.4
2019-11-12 05:00:00,613.75,470.0,168.78,63.38,14.53,0.15,1.53
2019-11-12 06:00:00,666.5,506.75,155.52,60.07,16.05,0.25,1.62
2019-11-12 07:00:00,712.5,555.25,105.88,51.62,14.52,0.3,1.45
2019-11-12 08:00:00,748.75,590.0,64.55,44.55,14.18,0.25,1.65
2019-11-12 09:00:00,762.0,608.0,45.83,45.77,23.45,0.15,1.68
2019-11-12 10:00:00,784.25,616.0,49.6,45.42,37.67,0.12,1.82
2019-11-12 11:00:00,750.5,557.75,38.15,43.85,43.03,,1.35
2019-11-12 12:00:00,632.75,452.0,33.0,44.38,34.03,,1.38
2019-11-12 13:00:00,500.5,368.25,28.83,38.0,28.5,,1.38
2019-11-12 14:00:00,372.75,286.25,26.3,34.6,26.43,,1.43
2019-11-12 15:00:00,295.5,215.25,24.8,34.5,20.07,,1.62
2019-11-12 16:00:00,246.75,175.5,23.7,31.85,18.23,,1.47
2019-11-12 17:00:00,227.25,164.75,24.08,32.88,18.52,,1.38
2019-11-12 18:00:00,265.75,184.25,34.6,39.17,20.35,0.3,1.43
2019-11-12 19:00:00,372.5,231.5,60.68,47.58,23.22,0.6,1.38
2019-11-12 20:00:00,494.5,282.0,76.0,51.62,23.32,1.02,1.38
2019-11-12 21:00:00,509.25,323.0,73.1,48.62,22.27,1.27,1.35
2019-11-12 22:00:00,498.75,358.25,95.22,56.25,22.7,1.3,1.35
2019-11-12 23:00:00,521.0,368.5,100.68,58.83,22.15,1.25,1.3
2019-11-13 00:00:00,567.0,383.0,96.55,61.45,19.33,1.27,1.38
2019-11-13 01:00:00,627.25,395.0,160.0,73.65,23.75,0.53,1.6
2019-11-13 02:00:00,676.25,435.5,141.6,65.53,23.23,,1.2
2019-11-13 03:00:00,623.5,428.5,94.75,49.1,19.25,,1.27
2019-11-13 04:00:00,623.0,485.25,90.78,49.05,18.9,0.1,1.42
2019-11-13 05:00:00,690.75,539.75,72.07,46.0,17.18,,1.25
2019-11-13 06:00:00,673.25,527.25,106.35,53.27,16.85,0.3,1.5
2019-11-13 07:00:00,679.0,515.75,116.8,56.7,15.3,0.4,1.32
2019-11-13 08:00:00,673.5,498.75,115.32,57.08,15.78,0.43,1.48
2019-11-13 09:00:00,713.0,487.5,57.88,49.48,28.5,0.1,1.48
2019-11-13 10:00:00,669.5,497.75,48.52,48.22,44.58,,1.43
2019-11-13 11:00:00,556.0,396.0,40.2,42.3,50.77,,1.45
2019-11-13 12:00:00,405.5,272.75,36.77,40.92,48.52,,1.6
2019-11-13 13:00:00,380.25,262.75,35.78,45.7,44.85,0.4,1.23
2019-11-13 14:00:00,418.0,313.0,36.27,41.7,35.25,0.35,1.45
2019-11-13 15:00:00,393.5,290.25,29.2,35.03,21.57,0.17,1.1
2019-11-13 16:00:00,300.0,237.75,26.17,36.27,20.25,0.1,1.4
2019-11-13 17:00:00,272.25,205.75,29.93,36.95,22.5,0.2,1.42
2019-11-13 18:00:00,316.75,216.5,45.0,48.67,22.2,0.42,1.4
2019-11-13 19:00:00,406.25,237.5,66.92,49.5,21.75,0.35,1.68
2019-11-13 20:00:00,417.75,258.25,71.4,51.0,22.27,0.45,1.4
2019-11-13 21:00:00,425.25,282.0,88.65,56.65,22.6,0.8,1.43
2019-11-13 22:00:00,446.5,294.0,118.8,68.17,21.82,1.12,1.35
2019-11-13 23:00:00,491.75,318.75,97.08,67.72,21.62,0.85,1.35
2019-11-14 00:00:00,487.25,336.25,61.02,55.12,20.72,0.38,1.32
2019-11-14 01:00:00,461.75,328.0,99.25,59.5,20.9,1.0,1.42
2019-11-14 02:00:00,485.5,327.5,111.67,55.3,17.12,1.15,1.5
2019-11-14 03:00:00,527.5,331.5,148.65,66.15,18.25,1.55,1.35
2019-11-14 04:00:00,550.0,347.0,173.03,71.2,16.62,1.73,1.52
2019-11-14 05:00:00,573.0,367.25,158.88,61.12,17.48,0.98,1.5
2019-11-14 06:00:00,554.75,358.75,146.25,62.3,17.8,0.78,1.38
2019-11-14 07:00:00,546.25,373.75,154.45,65.72,19.45,0.25,1.4
2019-11-14 08:00:00,581.25,393.5,152.03,65.58,23.8,0.38,1.4
2019-11-14 09:00:00,603.5,395.75,100.05,55.95,35.42,0.1,1.52
2019-11-14 10:00:00,603.75,386.75,54.03,47.55,42.88,,1.35
2019-11-14 11:00:00,494.25,309.25,43.15,42.15,43.08,,1.4
2019-11-14 12:00:00,431.75,263.5,43.7,43.98,39.1,,1.4
2019-11-14 13:00:00,436.0,267.0,30.88,36.77,32.12,,1.52
2019-11-14 14:00:00,344.75,235.0,32.83,34.83,29.58,,1.45
2019-11-14 15:00:00,337.75,223.25,30.67,34.23,27.35,,1.35
2019-11-14 16:00:00,293.5,200.75,30.55,35.45,25.15,0.15,4.3
2019-11-14 17:00:00,268.0,178.25,37.23,34.92,24.27,0.2,3.0
2019-11-14 18:00:00,266.75,159.25,48.2,38.88,19.2,0.3,
2019-11-14 19:00:00,333.75,175.25,101.85,56.83,17.22,0.97,
2019-11-14 20:00:00,503.0,249.25,96.4,63.88,16.6,1.5,
2019-11-14 21:00:00,586.0,344.0,78.55,55.15,17.5,1.43,
2019-11-14 22:00:00,514.75,297.0,145.12,74.97,20.9,2.02,
