Datetime,PM10 (ug/m3),PM2.5 (ug/m3),NH3 (ug/m3),NOx (ppb),CO (mg/m3),Ozone (ug/m3),SO2 (ug/m3)
2019-10-31 01:00:00,289.0,214.5,35.2,12.65,1.0,4.5,7.4
2019-10-31 02:00:00,275.25,208.5,36.57,26.6,1.05,5.5,8.9
2019-10-31 03:00:00,277.5,193.75,32.75,18.05,1.1,4.55,2.35
2019-10-31 04:00:00,270.5,189.0,31.3,20.47,1.1,4.08,4.5
2019-10-31 05:00:00,266.5,186.75,31.1,24.18,1.1,4.38,4.55
2019-10-31 06:00:00,278.5,186.5,31.15,29.8,1.2,4.6,4.65
2019-10-31 07:00:00,282.25,182.5,32.23,33.75,1.2,4.48,5.35
2019-10-31 08:00:00,286.75,197.75,33.5,37.97,1.25,4.88,4.7
2019-10-31 09:00:00,316.0,216.0,33.53,38.4,1.3,4.92,6.32
2019-10-31 10:00:00,328.25,217.25,35.42,35.18,1.25,10.45,6.2
2019-10-31 11:00:00,271.5,171.25,32.2,24.9,1.15,26.1,8.6
2019-10-31 12:00:00,224.75,128.25,29.75,13.68,1.05,37.0,4.7
2019-10-31 13:00:00,197.0,121.75,30.23,9.02,0.97,44.82,4.95
2019-10-31 14:00:00,197.0,118.0,41.55,9.65,1.0,53.23,5.97
2019-10-31 15:00:00,294.0,207.0,49.67,,1.45,69.85,11.3
2019-10-31 16:00:00,388.0,282.0,41.48,10.9,1.27,71.9,11.68
2019-10-31 17:00:00,499.0,382.5,45.52,7.75,1.27,69.45,14.55
2019-10-31 18:00:00,626.0,496.0,48.55,8.12,1.5,41.07,14.43
2019-10-31 19:00:00,675.0,526.0,54.12,9.22,1.65,19.9,14.8
2019-10-31 20:00:00,717.0,543.5,58.52,11.82,1.8,9.5,14.7
2019-10-31 21:00:00,709.0,534.5,55.5,10.73,1.9,6.6,8.7
2019-10-31 22:00:00,691.0,529.0,54.42,10.57,1.98,6.53,8.7
2019-10-31 23:00:00,693.0,542.5,55.05,10.82,2.0,6.9,8.85
2019-11-01 00:00:00,702.5,569.5,56.57,10.0,2.0,6.67,9.42
2019-11-01 01:00:00,706.0,577.0,55.52,11.03,2.05,6.0,10.28
2019-11-01 02:00:00,678.5,550.0,56.22,17.27,2.0,5.8,9.6
2019-11-01 03:00:00,628.5,501.5,46.85,14.7,2.0,5.22,7.4
2019-11-01 04:00:00,575.0,447.5,45.55,14.8,1.95,5.25,7.28
2019-11-01 05:00:00,521.0,400.5,43.12,16.0,1.85,4.6,11.07
2019-11-01 06:00:00,478.0,368.5,40.83,18.12,1.8,4.5,9.22
