Datetime,PM10 (ug/m3),PM2.5 (ug/m3),NH3 (ug/m3),NOx (ppb),Ozone (ug/m3),SO2 (ug/m3),CO (mg/m3)
2019-10-31 01:00:00,506.0,278.0,,388.17,4.88,19.18,5.53
2019-10-31 02:00:00,514.0,294.75,,301.65,4.9,18.57,3.97
2019-10-31 03:00:00,478.0,281.0,,214.1,4.8,16.9,3.6
2019-10-31 04:00:00,458.0,281.25,,199.47,4.83,16.77,3.45
2019-10-31 05:00:00,454.0,274.75,,211.93,4.58,16.08,2.45
2019-10-31 06:00:00,407.0,231.0,,209.05,4.78,15.65,2.62
2019-10-31 07:00:00,447.0,236.25,,205.2,4.72,14.62,2.55
2019-10-31 08:00:00,399.0,215.5,,194.25,4.78,14.97,2.72
2019-10-31 09:00:00,482.0,240.75,,171.82,4.78,19.3,3.02
2019-10-31 10:00:00,525.0,252.25,,120.17,4.85,24.02,2.88
2019-10-31 11:00:00,652.0,334.25,,70.95,4.7,27.57,3.08
2019-10-31 12:00:00,780.0,463.0,57.3,68.42,4.7,25.93,3.38
2019-10-31 13:00:00,853.0,457.5,124.15,48.95,5.32,23.6,3.15
2019-10-31 14:00:00,793.0,495.75,40.7,43.4,4.82,23.6,2.73
2019-10-31 15:00:00,658.0,471.0,40.45,38.38,4.45,21.73,2.55
2019-10-31 16:00:00,596.0,432.0,31.0,42.27,4.5,19.45,2.6
2019-10-31 17:00:00,583.0,383.0,29.48,46.35,4.72,19.88,2.72
2019-10-31 18:00:00,606.0,355.0,37.12,83.1,4.38,18.23,3.55
2019-10-31 19:00:00,722.0,392.0,50.1,237.25,4.97,18.8,6.22
2019-10-31 20:00:00,986.0,454.0,69.67,248.5,5.33,19.32,6.3
2019-10-31 21:00:00,886.0,460.0,63.12,187.7,5.25,16.73,6.03
2019-10-31 22:00:00,824.0,444.0,66.4,173.02,5.15,14.55,4.53
2019-10-31 23:00:00,668.0,353.0,88.97,192.57,5.12,13.7,3.95
2019-11-01 00:00:00,621.0,311.0,112.88,178.38,5.7,13.12,3.23
2019-11-01 01:00:00,605.0,298.0,127.42,180.4,4.78,13.75,2.9
2019-11-01 02:00:00,686.0,362.0,149.73,143.68,3.9,12.38,2.85
2019-11-01 03:00:00,631.0,350.0,161.12,139.25,4.65,13.03,3.12
2019-11-01 04:00:00,719.0,388.0,188.1,116.15,4.93,12.78,3.27
2019-11-01 05:00:00,733.0,398.0,189.88,119.53,4.8,13.45,3.08
2019-11-01 06:00:00,690.0,429.0,199.23,123.92,5.25,13.07,2.92
2019-11-01 07:00:00,670.0,434.0,198.35,212.65,4.72,13.85,3.5
2019-11-01 08:00:00,730.0,458.0,198.55,207.35,4.88,14.9,3.85
2019-11-01 09:00:00,765.0,475.0,193.23,,5.3,15.12,4.17
2019-11-01 10:00:00,880.0,505.0,192.57,,4.65,18.25,4.62
2019-11-01 11:00:00,,581.0,173.03,,3.95,28.3,3.58
