Datetime,PM10 (ug/m3),PM2.5 (ug/m3),NH3 (ug/m3),NOx (ppb),CO (mg/m3),Ozone (ug/m3),SO2 (ug/m3)
2019-10-31 01:00:00,450.75,322.25,76.05,,5.32,6.5,17.18
2019-10-31 02:00:00,410.5,302.25,79.57,,4.92,7.3,16.52
2019-10-31 03:00:00,372.5,267.25,72.22,189.25,3.57,6.03,12.98
2019-10-31 04:00:00,338.0,237.5,69.78,194.47,3.12,6.35,10.85
2019-10-31 05:00:00,328.5,228.75,70.0,157.05,2.58,5.45,10.5
2019-10-31 06:00:00,354.5,237.0,66.0,140.22,2.7,6.08,10.32
2019-10-31 07:00:00,357.5,251.5,68.58,139.75,2.52,6.4,10.03
2019-10-31 08:00:00,374.25,269.5,71.43,144.68,2.42,6.15,9.6
2019-10-31 09:00:00,412.25,266.75,75.12,103.17,1.88,5.35,10.47
2019-10-31 10:00:00,412.0,238.5,78.32,91.92,1.88,5.55,13.38
2019-10-31 11:00:00,405.75,221.25,74.17,105.07,2.0,6.7,15.95
2019-10-31 12:00:00,414.5,221.0,70.65,62.22,2.0,24.5,16.52
2019-10-31 13:00:00,402.75,211.25,72.65,37.55,1.9,79.97,18.88
2019-10-31 14:00:00,450.25,262.0,69.03,28.02,2.0,111.23,20.52
2019-10-31 15:00:00,483.75,317.0,65.38,26.68,1.72,128.75,20.45
2019-10-31 16:00:00,533.0,336.0,72.0,34.17,1.77,117.33,22.62
2019-10-31 17:00:00,562.25,364.5,74.17,49.3,1.95,61.0,19.8
2019-10-31 18:00:00,635.0,416.75,79.55,65.03,3.05,14.45,16.23
2019-10-31 19:00:00,732.5,520.25,76.83,113.53,4.12,8.1,18.95
2019-10-31 20:00:00,770.0,582.5,81.65,149.3,4.83,8.27,19.72
2019-10-31 21:00:00,782.5,609.75,75.52,136.42,4.67,6.85,17.32
2019-10-31 22:00:00,674.75,508.0,67.07,153.8,5.33,6.62,19.42
2019-10-31 23:00:00,638.0,480.25,72.5,,5.93,6.53,23.2
2019-11-01 00:00:00,612.25,464.5,77.92,,5.65,6.8,23.95
2019-11-01 01:00:00,583.25,449.25,80.4,,5.38,7.8,23.65
2019-11-01 02:00:00,561.5,438.75,82.15,180.3,4.02,5.75,18.27
2019-11-01 03:00:00,567.5,430.75,73.6,120.22,3.35,5.4,11.07
2019-11-01 04:00:00,617.25,455.5,71.2,101.55,2.85,5.15,9.6
2019-11-01 05:00:00,588.5,461.0,70.67,89.88,2.42,4.9,9.12
2019-11-01 06:00:00,583.5,467.0,68.6,80.7,3.12,4.97,9.8
2019-11-01 07:00:00,599.25,478.75,67.85,126.28,3.2,5.8,10.0
2019-11-01 08:00:00,634.25,490.25,73.72,151.15,3.52,6.95,11.18
2019-11-01 09:00:00,677.0,506.5,76.72,182.85,3.7,6.83,13.3
2019-11-01 10:00:00,721.75,527.75,84.42,122.95,3.33,8.05,18.25
2019-11-01 11:00:00,724.0,517.75,72.8,64.65,2.8,41.33,23.27
2019-11-01 12:00:00,660.75,474.75,70.45,58.65,2.23,97.5,27.15
2019-11-01 13:00:00,689.75,485.25,79.57,52.38,2.1,138.35,31.77
2019-11-01 14:00:00,688.25,487.25,74.42,40.22,2.38,176.88,27.18
2019-11-01 15:00:00,666.0,480.75,73.03,42.43,2.35,178.57,25.85
2019-11-01 16:00:00,691.25,497.5,78.53,48.85,2.6,160.82,26.73
2019-11-01 17:00:00,691.25,465.75,78.2,43.12,2.23,100.95,23.18
