Datetime,PM10 (ug/m3),PM2.5 (ug/m3),CO (mg/m3),NH3 (ug/m3),NOx (ppb),Ozone (ug/m3),SO2 (ug/m3)
2019-10-31 01:00:00,223.25,176.5,2.85,38.22,119.92,7.0,12.82
2019-10-31 02:00:00,214.25,171.75,2.52,40.27,87.38,6.47,10.07
2019-10-31 03:00:00,194.0,161.5,2.17,39.68,67.12,6.57,9.1
2019-10-31 04:00:00,194.75,160.25,2.02,37.1,60.25,6.62,7.5
2019-10-31 05:00:00,201.0,163.0,2.3,35.98,88.8,6.92,7.03
2019-10-31 06:00:00,216.5,171.75,2.27,36.12,90.12,6.6,7.75
2019-10-31 07:00:00,227.5,181.0,2.45,35.42,114.08,7.38,10.05
2019-10-31 08:00:00,232.75,185.75,2.17,36.27,81.88,7.32,9.85
2019-10-31 09:00:00,246.75,189.5,2.23,37.25,98.12,8.03,7.95
2019-10-31 10:00:00,265.75,188.75,2.02,40.92,97.93,9.3,9.68
2019-10-31 11:00:00,295.5,194.25,1.9,40.85,55.3,32.5,14.4
2019-10-31 12:00:00,294.25,176.5,1.68,39.28,42.28,75.17,13.78
2019-10-31 13:00:00,306.5,175.75,1.42,37.55,26.7,113.05,15.3
2019-10-31 14:00:00,298.25,186.75,1.55,38.75,26.9,148.47,18.43
2019-10-31 15:00:00,347.25,226.0,1.88,42.55,34.3,153.9,17.23
2019-10-31 16:00:00,395.0,272.75,2.0,45.35,32.8,111.03,13.82
2019-10-31 17:00:00,405.75,295.75,1.95,45.83,30.02,70.28,10.27
2019-10-31 18:00:00,422.0,303.5,2.05,47.55,29.7,29.98,8.62
2019-10-31 19:00:00,430.25,340.75,2.35,50.28,30.32,13.07,7.52
2019-10-31 20:00:00,445.5,388.25,2.62,52.25,31.55,10.65,7.25
2019-10-31 21:00:00,473.25,426.5,2.77,52.0,32.72,10.03,7.2
2019-10-31 22:00:00,474.5,427.25,2.65,49.6,30.68,9.88,7.83
2019-10-31 23:00:00,448.75,409.0,2.45,49.1,24.7,11.23,8.68
2019-11-01 00:00:00,402.75,369.75,2.25,47.77,26.15,9.65,6.78
2019-11-01 01:00:00,356.25,315.5,2.55,47.55,43.4,8.68,7.28
2019-11-01 02:00:00,375.5,318.5,2.55,50.12,39.62,10.5,7.92
2019-11-01 03:00:00,358.25,322.75,3.1,,87.25,9.3,10.1
2019-11-01 04:00:00,357.0,324.75,3.08,,80.3,8.93,9.43
2019-11-01 05:00:00,365.5,338.5,2.95,,70.75,9.32,7.48
2019-11-01 06:00:00,386.5,356.0,2.73,,61.25,9.3,7.35
2019-11-01 07:00:00,402.75,360.75,2.77,,59.58,9.0,7.42
2019-11-01 08:00:00,411.75,364.5,2.73,,57.15,9.62,8.35
2019-11-01 09:00:00,428.25,366.25,3.52,15.3,132.5,10.7,10.72
2019-11-01 10:00:00,501.75,407.0,4.45,78.7,212.4,11.8,13.85
2019-11-01 11:00:00,584.5,475.0,3.08,72.4,100.47,,14.18
2019-11-01 12:00:00,564.75,483.25,3.38,65.9,101.25,114.27,16.25
2019-11-01 13:00:00,598.0,494.5,3.25,65.1,79.08,172.0,13.95
2019-11-01 14:00:00,618.5,507.25,3.2,64.62,78.85,,13.43
2019-11-01 15:00:00,603.5,495.25,3.25,63.25,90.17,176.6,11.0
2019-11-01 16:00:00,562.0,464.5,3.28,63.02,87.35,119.55,8.07
2019-11-01 17:00:00,562.75,459.75,3.23,63.15,86.28,69.4,7.08
2019-11-01 18:00:00,563.5,455.5,3.05,63.28,67.18,27.85,4.65
2019-11-01 19:00:00,514.25,432.25,3.08,59.62,76.6,11.88,4.38
2019-11-01 20:00:00,452.75,379.0,2.83,53.92,91.65,11.38,3.98
2019-11-01 21:00:00,405.5,311.25,2.0,49.65,48.12,15.4,1.45
2019-11-01 22:00:00,316.0,228.5,1.75,41.4,61.15,9.43,0.6
2019-11-01 23:00:00,245.5,180.25,1.75,42.47,72.53,7.28,0.62
2019-11-02 00:00:00,224.5,160.25,1.6,41.25,57.08,6.67,0.7
2019-11-02 01:00:00,198.5,142.25,1.6,41.25,55.02,6.55,1.62
2019-11-02 02:00:00,191.0,142.25,1.6,44.65,60.78,9.55,1.5
2019-11-02 03:00:00,198.5,147.75,1.4,41.75,46.2,7.43,0.65
2019-11-02 04:00:00,187.25,141.5,1.27,39.9,32.1,6.95,0.5
2019-11-02 05:00:00,166.25,133.0,1.17,40.52,28.1,7.35,1.2
2019-11-02 06:00:00,164.0,131.0,1.08,41.6,48.0,7.25,1.75
2019-11-02 07:00:00,162.0,132.5,1.0,40.98,33.97,6.95,2.02
2019-11-02 08:00:00,157.25,128.0,1.05,41.15,23.07,7.8,1.9
2019-11-02 09:00:00,178.0,140.5,1.52,43.0,61.75,9.85,2.05
2019-11-02 10:00:00,256.75,202.5,1.75,51.67,56.62,17.55,3.88
2019-11-02 11:00:00,351.75,287.25,1.9,56.6,58.02,35.17,8.2
2019-11-02 12:00:00,387.25,320.25,1.92,58.52,54.0,62.62,13.98
2019-11-02 13:00:00,393.5,317.75,2.15,57.75,46.73,95.22,17.35
2019-11-02 14:00:00,443.25,347.5,2.3,61.2,41.08,129.75,17.65
2019-11-02 15:00:00,516.5,418.0,1.77,56.73,22.5,113.03,15.17
2019-11-02 16:00:00,436.25,355.25,1.93,56.38,26.03,82.47,10.18
2019-11-02 17:00:00,454.75,377.0,2.3,61.77,30.8,55.4,6.55
2019-11-02 18:00:00,566.5,493.0,2.75,73.2,30.85,51.4,5.9
2019-11-02 19:00:00,740.5,678.75,3.0,79.25,31.45,40.03,5.88
2019-11-02 20:00:00,798.0,746.25,3.0,74.65,44.8,19.3,4.7
2019-11-02 21:00:00,718.25,687.5,2.9,68.75,47.38,14.32,4.55
2019-11-02 22:00:00,632.75,610.75,2.77,61.83,58.67,13.65,4.1
2019-11-02 23:00:00,576.75,555.0,2.88,58.55,72.97,12.95,4.3
2019-11-03 00:00:00,553.5,518.75,3.0,59.8,69.23,12.18,4.15
2019-11-03 01:00:00,535.5,510.5,3.08,63.65,66.83,12.93,3.22
2019-11-03 02:00:00,591.5,552.75,2.98,67.92,53.88,15.45,2.55
2019-11-03 03:00:00,646.25,600.25,2.75,66.7,38.4,13.07,2.2
2019-11-03 04:00:00,657.0,631.0,2.5,63.68,36.35,11.28,1.8
2019-11-03 05:00:00,601.0,569.75,2.4,61.92,42.9,10.52,1.85
