Datetime,PM10 (ug/m3),PM2.5 (ug/m3),NH3 (ug/m3),NOx (ppb),Ozone (ug/m3),SO2 (ug/m3),CO (mg/m3)
2019-10-31 01:00:00,583.5,371.0,49.47,324.03,16.7,15.62,7.33
2019-10-31 02:00:00,583.5,378.0,52.02,316.8,18.7,16.12,6.33
2019-10-31 03:00:00,550.5,373.0,50.95,163.4,13.95,14.15,3.0
2019-10-31 04:00:00,457.0,327.0,43.92,90.6,9.88,9.32,1.12
2019-10-31 05:00:00,376.0,280.5,42.12,113.3,8.78,9.88,0.57
2019-10-31 06:00:00,344.0,254.0,40.02,93.3,7.92,9.97,0.18
2019-10-31 07:00:00,334.5,233.0,41.95,88.57,8.55,14.05,1.0
2019-10-31 08:00:00,359.5,238.5,46.6,131.68,10.88,15.82,2.27
2019-10-31 09:00:00,436.5,262.5,47.3,121.12,11.32,19.68,2.28
2019-10-31 10:00:00,499.0,258.0,42.6,79.4,13.05,24.8,2.1
2019-10-31 11:00:00,576.5,276.0,54.83,72.53,25.15,36.65,1.53
2019-10-31 12:00:00,668.0,386.5,60.23,44.95,51.45,32.52,1.98
2019-10-31 13:00:00,693.0,471.5,63.77,42.35,81.35,29.7,2.1
2019-10-31 14:00:00,720.5,496.0,64.75,35.33,101.72,27.3,2.27
2019-10-31 15:00:00,745.0,514.0,65.72,36.6,101.25,24.85,2.3
2019-10-31 16:00:00,721.0,501.5,65.93,33.67,83.7,24.0,2.05
2019-10-31 17:00:00,689.5,468.5,61.12,44.4,47.9,21.45,2.27
2019-10-31 18:00:00,689.0,454.0,58.35,94.05,17.2,20.95,2.92
2019-10-31 19:00:00,679.5,451.0,59.45,146.12,15.65,22.9,3.52
2019-10-31 20:00:00,690.0,466.5,61.95,170.5,16.58,21.55,4.4
2019-10-31 21:00:00,706.5,490.5,61.38,169.38,16.2,21.7,3.65
2019-10-31 22:00:00,652.0,471.5,58.1,133.5,14.65,20.85,3.1
2019-10-31 23:00:00,588.5,426.5,55.23,200.55,14.3,21.62,3.35
2019-11-01 00:00:00,558.0,406.0,55.05,247.18,14.0,22.35,2.7
2019-11-01 01:00:00,548.0,419.5,56.62,213.53,13.57,17.77,2.62
2019-11-01 02:00:00,558.0,430.0,57.23,171.72,16.3,15.05,3.03
2019-11-01 03:00:00,633.0,491.0,64.85,100.25,14.03,14.8,3.0
2019-11-01 04:00:00,686.5,556.5,61.97,89.47,13.88,12.3,2.62
2019-11-01 05:00:00,661.5,549.0,60.5,66.22,13.05,12.35,2.02
2019-11-01 06:00:00,639.5,533.5,55.77,89.57,13.1,13.62,1.9
2019-11-01 07:00:00,634.5,519.0,56.88,122.2,14.92,16.85,2.4
2019-11-01 08:00:00,664.0,525.5,58.25,181.8,15.75,17.77,3.4
2019-11-01 09:00:00,732.5,563.5,61.27,152.93,20.05,21.18,3.08
2019-11-01 10:00:00,815.5,581.5,62.12,160.7,21.98,34.38,2.65
2019-11-01 11:00:00,793.5,544.5,63.65,87.5,49.92,35.85,2.17
2019-11-01 12:00:00,681.5,480.0,59.03,48.4,116.85,31.62,1.77
2019-11-01 13:00:00,628.5,439.5,58.5,43.3,173.88,33.85,1.8
2019-11-01 14:00:00,604.5,406.0,57.02,32.95,188.7,33.67,1.9
2019-11-01 15:00:00,584.0,371.0,55.15,35.12,149.68,29.6,1.8
2019-11-01 16:00:00,630.0,360.0,54.1,39.33,128.45,26.6,1.88
2019-11-01 17:00:00,671.5,356.0,50.25,67.97,53.55,21.6,2.25
2019-11-01 18:00:00,688.5,341.0,52.57,98.65,15.55,20.52,2.8
2019-11-01 19:00:00,657.5,345.5,52.3,105.68,16.18,18.82,3.05
2019-11-01 20:00:00,582.0,350.0,50.4,74.47,18.6,18.38,2.17
2019-11-01 21:00:00,477.0,273.0,41.22,52.03,20.15,15.67,1.42
2019-11-01 22:00:00,394.0,207.5,42.85,83.3,10.68,15.5,1.62
2019-11-01 23:00:00,382.5,205.5,41.42,84.88,10.53,17.85,1.35
2019-11-02 00:00:00,361.0,204.5,39.98,103.45,9.85,20.15,1.12
2019-11-02 01:00:00,348.5,206.5,40.05,105.17,10.5,20.5,1.12
2019-11-02 02:00:00,339.0,218.5,44.92,105.0,12.75,19.05,1.38
2019-11-02 03:00:00,341.5,243.0,41.55,67.7,11.38,18.0,1.35
2019-11-02 04:00:00,366.0,278.5,42.6,51.2,12.35,15.78,1.43
2019-11-02 05:00:00,401.0,311.5,43.92,58.43,13.23,15.28,1.45
2019-11-02 06:00:00,405.5,314.0,44.33,63.98,14.43,16.0,1.42
2019-11-02 07:00:00,358.0,272.0,42.17,55.83,12.8,13.53,1.33
2019-11-02 08:00:00,342.5,245.5,42.2,65.55,11.85,14.38,1.38
2019-11-02 09:00:00,405.0,279.5,44.03,121.68,13.68,18.2,1.8
2019-11-02 10:00:00,591.5,429.5,56.12,69.3,23.1,27.25,2.45
2019-11-02 11:00:00,769.5,571.5,56.62,63.05,36.22,30.78,2.5
2019-11-02 12:00:00,753.0,550.5,54.38,58.65,51.7,36.67,2.2
2019-11-02 13:00:00,677.0,471.5,51.95,43.08,62.4,34.95,2.0
2019-11-02 14:00:00,574.5,388.0,48.52,27.4,73.2,26.0,1.9
2019-11-02 15:00:00,462.5,311.5,45.28,32.1,58.22,21.7,1.85
2019-11-02 16:00:00,470.0,315.5,49.58,37.4,43.58,19.92,2.15
2019-11-02 17:00:00,563.0,409.0,55.8,32.0,32.65,17.48,2.42
2019-11-02 18:00:00,671.0,514.0,60.35,29.92,26.43,16.05,2.5
2019-11-02 19:00:00,669.5,541.0,58.28,29.93,34.5,14.57,1.88
2019-11-02 20:00:00,595.0,502.0,55.02,55.02,14.23,13.15,2.2
2019-11-02 21:00:00,568.0,472.0,55.7,60.85,11.57,13.85,2.15
2019-11-02 22:00:00,598.0,501.0,57.83,68.38,11.75,13.67,2.52
2019-11-02 23:00:00,641.5,542.5,57.5,90.83,11.4,14.57,2.4
2019-11-03 00:00:00,644.5,546.5,57.9,72.45,11.07,14.22,2.5
2019-11-03 01:00:00,656.0,559.5,55.9,84.88,10.72,13.22,2.6
2019-11-03 02:00:00,743.5,635.5,71.97,114.02,13.9,14.8,2.62
2019-11-03 03:00:00,884.5,774.0,61.45,71.55,12.4,14.3,2.7
2019-11-03 04:00:00,970.5,866.5,70.78,49.65,11.95,13.77,2.77
2019-11-03 05:00:00,957.25,921.0,74.57,44.4,11.43,13.15,2.75
2019-11-03 06:00:00,953.0,960.0,72.5,37.52,11.6,13.65,2.65
2019-11-03 07:00:00,,944.5,69.78,33.62,12.53,14.62,2.48
