Datetime,PM10 (ug/m3),PM2.5 (ug/m3),NH3 (ug/m3),NOx (ug/m3),SO2 (ug/m3),Ozone (ug/m3),CO (mg/m3)
2019-10-31 01:00:00,298.75,201.25,9.97,39.02,12.97,3.42,1.23
2019-10-31 02:00:00,267.0,191.5,10.47,38.1,12.85,3.27,1.2
2019-10-31 03:00:00,269.5,190.5,9.97,29.1,12.85,3.85,1.08
2019-10-31 04:00:00,263.75,179.5,16.45,34.05,12.7,3.3,1.07
2019-10-31 05:00:00,279.25,196.25,15.6,34.48,11.65,3.75,0.08
2019-10-31 06:00:00,296.75,203.0,17.0,48.15,13.6,3.27,0.42
2019-10-31 07:00:00,347.5,223.25,18.0,71.03,13.4,3.33,0.98
2019-10-31 08:00:00,403.5,233.75,14.05,130.55,15.25,3.92,2.23
2019-10-31 09:00:00,473.5,241.25,17.2,151.38,16.38,3.35,2.53
2019-10-31 10:00:00,420.25,220.75,17.93,111.22,19.12,3.75,1.78
2019-10-31 11:00:00,361.75,186.75,13.5,81.55,21.57,3.98,1.33
2019-10-31 12:00:00,320.0,164.25,18.9,60.03,21.95,3.83,0.85
2019-10-31 13:00:00,302.5,155.5,17.8,41.77,19.3,4.28,1.38
2019-10-31 14:00:00,329.75,172.0,17.82,38.08,19.5,5.15,1.48
2019-10-31 15:00:00,352.5,199.75,17.57,31.93,21.23,6.65,1.38
2019-10-31 16:00:00,379.25,225.25,13.32,42.5,19.9,9.88,2.0
2019-10-31 17:00:00,479.25,300.75,13.77,74.42,21.4,8.07,2.65
2019-10-31 18:00:00,527.25,321.5,19.15,147.15,18.1,3.6,3.65
2019-10-31 19:00:00,545.0,343.75,18.85,132.27,15.57,2.98,3.77
2019-10-31 20:00:00,602.75,397.0,24.73,152.55,15.95,2.92,
2019-10-31 21:00:00,687.25,453.5,25.55,158.57,16.27,3.83,
2019-10-31 22:00:00,710.25,456.5,25.8,119.58,15.73,3.55,
2019-10-31 23:00:00,682.5,442.75,25.1,102.8,13.65,3.35,
2019-11-01 00:00:00,638.5,430.25,22.05,61.92,13.88,3.67,
2019-11-01 01:00:00,532.5,389.75,20.1,53.55,14.25,3.6,
2019-11-01 02:00:00,494.0,380.0,20.58,53.83,14.7,3.6,
2019-11-01 03:00:00,516.5,404.0,21.52,39.83,15.4,3.4,
2019-11-01 04:00:00,539.0,424.25,22.12,29.52,15.18,3.98,
2019-11-01 05:00:00,535.0,427.75,21.77,23.88,13.55,3.55,
2019-11-01 06:00:00,529.75,420.25,22.43,25.77,13.18,3.67,
2019-11-01 07:00:00,550.0,427.0,23.15,19.07,13.4,3.6,
2019-11-01 08:00:00,544.0,448.0,22.7,54.78,14.52,3.58,
2019-11-01 09:00:00,567.0,455.0,24.35,107.0,17.05,3.12,
2019-11-01 10:00:00,670.0,477.0,24.15,82.72,19.25,3.77,
2019-11-01 11:00:00,666.0,493.0,24.88,49.38,24.23,4.58,
2019-11-01 12:00:00,650.0,489.0,25.12,44.7,26.15,6.05,
2019-11-01 13:00:00,665.0,480.0,25.05,27.9,29.83,11.07,
2019-11-01 14:00:00,692.0,481.0,22.88,24.7,29.8,43.92,
2019-11-01 15:00:00,709.25,481.0,23.35,43.0,31.32,16.85,1.6
2019-11-01 16:00:00,675.25,473.75,23.22,68.88,33.7,13.57,2.17
2019-11-01 17:00:00,652.75,458.0,20.85,80.92,30.1,10.85,2.6
2019-11-01 18:00:00,621.75,417.25,25.17,180.75,27.2,4.62,4.32
2019-11-01 19:00:00,586.25,388.0,23.2,198.57,24.95,3.45,6.33
2019-11-01 20:00:00,540.5,340.25,25.8,186.78,21.32,3.83,5.47
