Datetime,PM2.5 (ug/m3),PM10 (ug/m3),NH3 (ug/m3),NOx (ppb),CO (mg/m3),Ozone (ug/m3),SO2 (ug/m3)
2019-10-31 01:00:00,321.75,566.5,42.73,235.2,4.15,12.85,18.98
2019-10-31 02:00:00,304.25,507.0,39.02,199.3,4.1,10.7,16.3
2019-10-31 03:00:00,257.25,427.5,40.0,165.93,,8.8,14.05
2019-10-31 04:00:00,241.0,364.25,43.25,167.52,,8.33,13.82
2019-10-31 05:00:00,239.5,370.25,43.0,149.67,2.02,8.07,13.23
2019-10-31 06:00:00,229.0,357.75,44.1,170.6,2.18,8.07,13.6
2019-10-31 07:00:00,236.75,388.0,39.05,191.12,2.52,8.12,13.7
2019-10-31 08:00:00,229.25,405.75,42.52,146.5,2.0,6.88,10.72
2019-10-31 09:00:00,212.0,392.25,41.17,114.72,1.73,5.5,10.32
2019-10-31 10:00:00,191.0,382.5,40.3,113.28,1.73,5.95,11.12
2019-10-31 11:00:00,181.5,380.25,42.48,97.55,1.7,9.7,10.62
2019-10-31 12:00:00,180.5,361.25,42.17,82.45,1.58,27.5,10.65
2019-10-31 13:00:00,188.5,371.0,42.65,58.08,1.45,69.77,12.0
2019-10-31 14:00:00,217.0,394.25,41.25,42.05,1.55,100.85,14.27
2019-10-31 15:00:00,262.5,426.75,39.38,35.9,1.45,125.4,14.4
2019-10-31 16:00:00,324.5,495.5,41.05,53.0,1.73,100.78,15.12
2019-10-31 17:00:00,337.0,526.5,42.33,77.97,2.42,26.18,15.12
2019-10-31 18:00:00,366.0,584.75,45.4,112.12,3.1,10.62,14.12
2019-10-31 19:00:00,413.0,671.75,44.93,150.6,4.03,10.55,16.18
2019-10-31 20:00:00,453.0,735.25,46.38,171.45,4.67,10.55,19.23
2019-10-31 21:00:00,443.0,704.5,45.38,257.0,5.75,11.55,22.0
2019-10-31 22:00:00,435.25,709.25,45.65,257.7,5.5,11.88,22.52
2019-10-31 23:00:00,441.0,690.25,44.72,247.2,5.05,11.25,20.75
2019-11-01 00:00:00,423.25,638.0,41.83,228.6,4.5,11.38,21.75
2019-11-01 01:00:00,424.25,644.75,42.25,224.5,3.95,10.85,18.23
2019-11-01 02:00:00,398.0,595.5,47.42,168.28,3.2,10.75,12.0
2019-11-01 03:00:00,405.25,579.25,47.15,126.88,2.58,10.35,9.58
2019-11-01 04:00:00,430.75,592.5,48.25,121.12,2.3,9.85,9.25
2019-11-01 05:00:00,439.75,595.0,48.02,102.83,2.0,9.72,8.4
2019-11-01 06:00:00,434.5,579.25,51.55,105.9,2.02,9.88,8.45
2019-11-01 07:00:00,441.0,605.25,49.88,105.58,2.35,13.55,8.25
2019-11-01 08:00:00,454.25,667.0,55.17,192.18,3.17,14.9,14.28
2019-11-01 09:00:00,479.0,817.5,53.95,134.82,2.75,16.25,12.5
2019-11-01 10:00:00,488.25,742.0,56.4,117.85,2.67,19.07,13.97
2019-11-01 11:00:00,487.5,715.5,56.83,80.2,2.3,62.92,15.57
2019-11-01 12:00:00,474.75,678.75,59.02,61.43,2.15,145.65,16.85
2019-11-01 13:00:00,449.75,666.0,58.85,39.02,2.0,,21.75
2019-11-01 14:00:00,451.5,646.75,57.85,32.83,1.97,,28.25
2019-11-01 15:00:00,460.75,643.0,55.75,39.47,2.12,,27.65
2019-11-01 16:00:00,459.0,661.25,52.67,40.73,2.23,,25.45
2019-11-01 17:00:00,428.0,658.5,49.02,43.28,2.18,137.97,23.7
2019-11-01 18:00:00,391.25,609.25,44.15,63.57,2.25,43.4,22.33
2019-11-01 19:00:00,359.75,564.75,42.45,95.22,2.73,11.18,21.82
2019-11-01 20:00:00,327.25,553.5,42.1,129.5,3.53,11.62,21.85
2019-11-01 21:00:00,316.25,573.75,38.83,91.32,2.6,8.53,19.18
2019-11-01 22:00:00,260.5,471.75,33.6,121.2,2.83,6.93,18.47
2019-11-01 23:00:00,221.25,421.5,35.97,108.18,2.5,6.47,17.93
2019-11-02 00:00:00,204.5,391.25,34.33,108.92,2.25,6.78,16.43
2019-11-02 01:00:00,194.0,364.75,35.35,112.67,2.12,6.35,16.1
2019-11-02 02:00:00,183.75,344.25,36.42,108.38,1.9,6.95,15.38
2019-11-02 03:00:00,181.25,315.5,37.05,101.25,1.62,7.02,14.98
2019-11-02 04:00:00,185.0,319.5,36.05,87.88,1.4,6.9,14.22
2019-11-02 05:00:00,188.75,300.25,38.15,74.55,1.15,7.03,13.82
2019-11-02 06:00:00,195.0,292.5,37.58,77.7,1.1,6.35,13.28
2019-11-02 07:00:00,177.0,264.5,36.25,77.47,1.2,5.88,14.1
2019-11-02 08:00:00,173.75,270.25,37.55,70.62,1.35,7.48,13.72
2019-11-02 09:00:00,212.25,334.0,41.0,66.68,1.42,10.17,13.67
2019-11-02 10:00:00,276.25,413.75,42.42,82.1,1.62,10.3,14.7
2019-11-02 11:00:00,282.25,443.0,45.88,73.65,1.7,13.8,14.6
2019-11-02 12:00:00,302.5,464.0,47.8,66.38,1.73,33.08,14.95
2019-11-02 13:00:00,318.5,475.0,50.78,57.52,1.88,68.53,16.82
2019-11-02 14:00:00,349.75,517.75,52.7,49.15,2.0,114.53,19.23
2019-11-02 15:00:00,402.0,599.5,47.48,36.4,1.77,83.83,20.5
2019-11-02 16:00:00,340.25,507.25,44.95,35.25,1.75,43.2,17.85
2019-11-02 17:00:00,342.0,507.5,47.0,32.27,1.85,34.5,16.9
2019-11-02 18:00:00,425.0,603.5,49.67,29.1,2.02,29.88,15.45
2019-11-02 19:00:00,552.25,729.5,51.97,28.88,2.18,26.4,15.4
2019-11-02 20:00:00,591.5,759.25,47.25,42.45,2.25,15.62,16.68
2019-11-02 21:00:00,489.5,620.0,43.75,49.0,2.23,13.25,16.05
2019-11-02 22:00:00,428.75,541.0,42.35,67.17,2.43,13.25,16.55
2019-11-02 23:00:00,430.25,554.0,42.55,94.72,2.8,15.05,17.42
2019-11-03 00:00:00,460.75,605.25,44.0,84.9,2.73,14.57,17.65
2019-11-03 01:00:00,488.75,622.75,47.0,67.53,2.48,14.45,14.85
2019-11-03 02:00:00,535.0,663.25,48.67,70.6,2.5,17.45,12.12
2019-11-03 03:00:00,591.5,726.0,50.05,58.95,2.58,15.62,11.02
2019-11-03 04:00:00,643.25,769.0,53.17,45.12,2.53,15.38,10.62
2019-11-03 05:00:00,647.5,769.25,50.42,43.65,2.23,13.12,9.97
2019-11-03 06:00:00,619.75,722.75,54.5,33.08,2.4,15.93,10.35
