Date,Station,AQI
2015-01-01,site_1400,
2015-01-01,site_1402,
2015-01-02,site_1400,
2015-01-02,site_1402,
2015-01-03,site_1400,
2015-01-03,site_1402,
2015-01-04,site_1400,
2015-01-04,site_1402,
2015-01-05,site_1400,
2015-01-05,site_1402,
2015-01-06,site_1400,
2015-01-06,site_1402,
2015-01-07,site_1400,
2015-01-07,site_1402,
2015-01-08,site_1400,
2015-01-08,site_1402,
2015-01-09,site_1400,
2015-01-09,site_1402,
2015-01-10,site_1400,
2015-01-10,site_1402,
2015-01-11,site_1400,
2015-01-11,site_1402,
2015-01-12,site_1400,
2015-01-12,site_1402,
2015-01-13,site_1400,
2015-01-13,site_1402,
2015-01-14,site_1400,
2015-01-14,site_1402,
2015-01-15,site_1400,
2015-01-15,site_1402,
2015-01-16,site_1400,
2015-01-16,site_1402,
2015-01-17,site_1400,
2015-01-17,site_1402,
2015-01-18,site_1400,
2015-01-18,site_1402,
2015-01-19,site_1400,
2015-01-19,site_1402,
2015-01-20,site_1400,
2015-01-20,site_1402,
2015-01-21,site_1400,
2015-01-21,site_1402,
2015-01-22,site_1400,
2015-01-22,site_1402,
2015-01-23,site_1400,
2015-01-23,site_1402,
2015-01-24,site_1400,
2015-01-24,site_1402,
2015-01-25,site_1400,
2015-01-25,site_1402,
2015-01-26,site_1400,
2015-01-26,site_1402,
2015-01-27,site_1400,
2015-01-27,site_1402,
2015-01-28,site_1400,
2015-01-28,site_1402,
2015-01-29,site_1400,
2015-01-29,site_1402,
2015-01-30,site_1400,
2015-01-30,site_1402,
2015-01-31,site_1400,
2015-01-31,site_1402,
2015-02-01,site_1400,
2015-02-01,site_1402,
2015-02-02,site_1400,
2015-02-02,site_1402,
2015-02-03,site_1400,
2015-02-03,site_1402,
2015-02-04,site_1400,
2015-02-04,site_1402,
2015-02-05,site_1400,
2015-02-05,site_1402,
2015-02-06,site_1400,
2015-02-06,site_1402,
2015-02-07,site_1400,
2015-02-07,site_1402,
2015-02-08,site_1400,
2015-02-08,site_1402,
2015-02-09,site_1400,
2015-02-09,site_1402,
2015-02-10,site_1400,
2015-02-10,site_1402,
2015-02-11,site_1400,
2015-02-11,site_1402,
2015-02-12,site_1400,
2015-02-12,site_1402,
2015-02-13,site_1400,
2015-02-13,site_1402,
2015-02-14,site_1400,
2015-02-14,site_1402,
2015-02-15,site_1400,
2015-02-15,site_1402,
2015-02-16,site_1400,
2015-02-16,site_1402,
2015-02-17,site_1400,
2015-02-17,site_1402,
2015-02-18,site_1400,
2015-02-18,site_1402,
2015-02-19,site_1400,
2015-02-19,site_1402,
2015-02-20,site_1400,
2015-02-20,site_1402,
2015-02-21,site_1400,
2015-02-21,site_1402,
2015-02-22,site_1400,
2015-02-22,site_1402,
2015-02-23,site_1400,
2015-02-23,site_1402,
2015-02-24,site_1400,
2015-02-24,site_1402,
2015-02-25,site_1400,
2015-02-25,site_1402,
2015-02-26,site_1400,
2015-02-26,site_1402,
2015-02-27,site_1400,
2015-02-27,site_1402,
2015-02-28,site_1400,
2015-02-28,site_1402,
2015-03-01,site_1400,
2015-03-01,site_1402,
2015-03-02,site_1400,
2015-03-02,site_1402,
2015-03-03,site_1400,
2015-03-03,site_1402,
2015-03-04,site_1400,
2015-03-04,site_1402,
2015-03-05,site_1400,
2015-03-05,site_1402,
2015-03-06,site_1400,
2015-03-06,site_1402,
2015-03-07,site_1400,
2015-03-07,site_1402,
2015-03-08,site_1400,
2015-03-08,site_1402,
2015-03-09,site_1400,
2015-03-09,site_1402,
2015-03-10,site_1400,
2015-03-10,site_1402,
2015-03-11,site_1400,
2015-03-11,site_1402,
2015-03-12,site_1400,
2015-03-12,site_1402,
2015-03-13,site_1400,
2015-03-13,site_1402,
2015-03-14,site_1400,
2015-03-14,site_1402,
2015-03-15,site_1400,
2015-03-15,site_1402,
2015-03-16,site_1400,
2015-03-16,site_1402,
2015-03-17,site_1400,
2015-03-17,site_1402,
2015-03-18,site_1400,
2015-03-18,site_1402,
2015-03-19,site_1400,
2015-03-19,site_1402,
2015-03-20,site_1400,
2015-03-20,site_1402,
2015-03-21,site_1400,
2015-03-21,site_1402,
2015-03-22,site_1400,
2015-03-22,site_1402,
2015-03-23,site_1400,
2015-03-23,site_1402,
2015-03-24,site_1400,
2015-03-24,site_1402,
2015-03-25,site_1400,
