Datetime,NOx (ppb),Ozone (ug/m3),PM2.5 (ug/m3),SO2 (ug/m3),CO (mg/m3),PM10 (ug/m3),NH3 (ug/m3)
2019-12-15 15:00:00,8.74,29.21,32.04,3.78,0.62,,
2019-12-15 16:00:00,10.24,29.62,28.47,1.43,0.34,,
2019-12-15 17:00:00,12.59,25.34,31.94,2.58,0.35,,
2019-12-15 18:00:00,24.56,13.57,31.56,1.9,0.96,,
2019-12-15 19:00:00,67.74,8.05,58.43,5.14,2.77,,
2019-12-15 20:00:00,59.88,6.9,93.38,10.52,2.7,,
2019-12-15 21:00:00,45.17,8.17,92.52,9.51,2.74,,
2019-12-15 22:00:00,21.6,12.08,86.83,11.95,2.75,,
2019-12-15 23:00:00,19.5,14.52,77.77,1.65,3.13,,
2019-12-16 00:00:00,17.72,11.94,69.02,0.75,2.63,,
2019-12-16 01:00:00,19.99,12.38,56.81,6.57,3.04,,
2019-12-16 02:00:00,13.26,12.74,49.39,5.47,3.09,,
2019-12-16 03:00:00,17.56,14.59,40.48,0.72,3.05,,
2019-12-16 04:00:00,12.29,14.81,41.52,0.03,3.1,,
2019-12-16 05:00:00,13.18,12.04,43.87,1.84,3.1,,
2019-12-16 06:00:00,12.62,15.22,39.06,0.83,3.19,,
2019-12-16 07:00:00,13.88,9.85,44.63,7.89,3.34,,
2019-12-16 08:00:00,19.16,1.64,53.94,7.71,3.5,,
2019-12-16 09:00:00,20.61,8.44,64.43,3.65,2.82,,
2019-12-16 10:00:00,21.4,11.54,75.06,5.38,2.49,,
2019-12-16 11:00:00,18.41,21.45,74.72,1.31,1.99,,
2019-12-16 12:00:00,19.99,21.32,67.06,0.44,2.17,,
2019-12-16 13:00:00,24.65,26.91,57.86,6.39,3.5,,
2019-12-16 14:00:00,20.94,31.05,38.63,3.06,3.65,,
2019-12-16 15:00:00,19.84,32.08,26.94,2.21,3.98,,
2019-12-16 16:00:00,21.45,31.74,32.99,2.5,3.98,,
2019-12-16 17:00:00,23.36,27.94,41.91,3.97,3.4,,
2019-12-16 18:00:00,36.16,18.68,51.5,4.96,3.52,,
2019-12-16 19:00:00,34.26,15.44,73.53,1.18,2.06,,
2019-12-16 20:00:00,28.9,13.94,97.6,4.37,1.06,,
2019-12-16 21:00:00,20.73,13.68,90.27,6.59,2.73,,
2019-12-16 22:00:00,20.5,11.48,78.56,6.13,2.91,,
2019-12-16 23:00:00,16.85,11.89,77.49,1.22,3.15,,
2019-12-17 00:00:00,15.33,18.69,69.64,0.28,3.03,,
2019-12-17 01:00:00,11.31,15.29,72.39,3.66,2.82,,
2019-12-17 02:00:00,8.28,25.24,75.95,1.26,2.93,,
2019-12-17 03:00:00,7.58,24.3,90.46,0.22,2.97,,
2019-12-17 04:00:00,7.38,20.26,94.02,,2.96,,
2019-12-17 05:00:00,7.63,24.27,89.45,1.53,2.7,,
2019-12-17 06:00:00,7.47,25.89,90.01,0.23,3.1,,
2019-12-17 07:00:00,7.71,22.36,86.59,2.31,3.46,,
2019-12-17 08:00:00,9.17,20.1,88.45,0.35,3.64,,
2019-12-17 09:00:00,12.62,12.04,87.08,6.43,3.05,,
2019-12-17 10:00:00,16.43,14.05,87.41,6.21,3.2,,
2019-12-17 11:00:00,20.11,11.73,82.95,3.39,3.28,,
2019-12-17 12:00:00,26.3,11.5,84.9,4.89,3.55,,
2019-12-17 13:00:00,19.61,18.04,93.41,3.4,3.7,,
2019-12-17 14:00:00,22.92,13.52,93.16,6.33,3.61,,
2019-12-17 15:00:00,27.85,8.87,100.51,5.74,0.0,,
2019-12-17 16:00:00,24.01,9.73,106.24,4.02,0.13,,
2019-12-17 17:00:00,18.96,21.75,102.64,5.67,0.04,,
2019-12-17 18:00:00,23.52,22.95,100.58,5.17,3.7,,
2019-12-17 19:00:00,28.51,11.74,98.94,5.82,3.9,,
2019-12-17 20:00:00,22.96,11.95,92.96,4.46,3.72,,
2019-12-17 21:00:00,20.64,13.06,93.03,4.09,3.77,,
2019-12-17 22:00:00,16.11,13.58,83.28,4.85,3.82,,
2019-12-17 23:00:00,12.25,17.97,73.24,3.33,3.99,,
2019-12-18 00:00:00,9.84,13.36,71.69,3.66,4.24,,
2019-12-18 01:00:00,8.36,18.17,55.6,0.89,4.27,,
2019-12-18 02:00:00,7.46,17.02,49.39,6.04,3.57,,
2019-12-18 03:00:00,7.37,9.65,54.28,4.25,3.55,,
2019-12-18 04:00:00,7.13,7.7,56.16,1.5,3.6,,
2019-12-18 05:00:00,7.38,6.23,46.28,0.03,3.51,,
2019-12-18 06:00:00,7.34,8.21,40.41,0.13,3.2,,
2019-12-18 07:00:00,8.99,4.72,48.91,0.03,3.2,,
2019-12-18 08:00:00,8.91,55.5,53.45,2.43,3.09,,
2019-12-18 09:00:00,13.86,31.05,52.78,2.15,3.11,,
2019-12-18 10:00:00,19.8,24.82,59.54,5.1,3.31,,
2019-12-18 11:00:00,16.26,19.96,64.46,5.82,3.2,,
2019-12-18 12:00:00,12.85,19.51,64.53,3.08,3.11,,
2019-12-18 13:00:00,17.04,11.42,,2.6,5.17,,
2019-12-18 14:00:00,29.56,13.75,103.47,0.32,3.63,,
2019-12-18 15:00:00,23.57,21.42,154.42,0.2,3.39,,
2019-12-18 16:00:00,22.8,20.38,144.41,,3.47,,
2019-12-18 17:00:00,22.32,13.73,141.97,0.42,3.31,,
2019-12-18 18:00:00,19.65,9.37,129.55,0.1,3.57,,
2019-12-18 19:00:00,18.43,11.12,117.33,0.09,3.57,,
2019-12-18 20:00:00,24.09,10.92,129.63,,3.94,,
2019-12-18 21:00:00,24.82,9.3,130.85,,3.89,,
2019-12-18 22:00:00,21.19,9.57,132.83,0.04,2.81,,
2019-12-18 23:00:00,17.2,7.92,138.19,0.01,2.44,,
2019-12-19 00:00:00,16.75,11.6,133.55,,2.35,,
2019-12-19 01:00:00,17.11,9.14,121.14,,2.4,,
2019-12-19 02:00:00,9.92,12.34,118.18,,1.07,,
2019-12-19 03:00:00,4.95,17.63,118.3,,0.28,,
2019-12-19 04:00:00,3.58,10.23,116.3,,1.19,,
2019-12-19 05:00:00,3.79,8.86,114.67,,0.0,,
2019-12-19 06:00:00,4.15,8.87,108.84,,0.0,,
2019-12-19 07:00:00,6.63,8.75,111.53,,0.0,,
2019-12-19 08:00:00,5.2,11.26,118.13,0.18,0.0,,
2019-12-19 09:00:00,5.65,10.07,123.72,0.2,0.0,,
2019-12-19 10:00:00,8.47,9.97,120.24,0.16,0.0,,
2019-12-19 11:00:00,15.79,10.29,123.27,0.2,4.75,,
2019-12-19 12:00:00,19.66,16.17,132.8,1.77,0.1,,
2019-12-19 13:00:00,20.99,15.28,128.51,2.59,0.67,,
2019-12-19 14:00:00,23.03,14.39,135.45,3.58,1.1,,
2019-12-19 15:00:00,21.34,14.11,156.57,3.94,0.9,,
2019-12-19 16:00:00,22.54,15.57,163.3,0.27,0.82,,
2019-12-19 17:00:00,20.56,15.06,147.39,0.47,0.68,,
2019-12-19 18:00:00,33.84,11.33,134.25,1.74,2.55,,
2019-12-19 19:00:00,35.61,10.82,138.36,3.06,2.52,,
2019-12-19 20:00:00,41.68,15.95,166.55,4.93,2.93,,
2019-12-19 21:00:00,48.75,24.38,207.71,8.65,3.15,,
2019-12-19 22:00:00,49.07,13.37,234.86,5.92,3.65,,
2019-12-19 23:00:00,44.15,10.9,247.82,10.73,2.99,,
2019-12-20 00:00:00,33.61,8.29,247.9,4.55,2.39,,
2019-12-20 01:00:00,26.75,13.01,215.74,10.35,2.15,,
2019-12-20 02:00:00,28.77,7.62,202.89,4.77,1.81,,
2019-12-20 03:00:00,30.82,6.95,200.81,4.91,1.6,,
2019-12-20 04:00:00,23.31,6.62,192.75,3.71,1.38,,
2019-12-20 05:00:00,21.79,7.44,178.17,4.71,1.3,,
2019-12-20 06:00:00,22.36,6.05,155.72,0.73,1.39,,
2019-12-20 07:00:00,23.65,10.8,139.0,0.06,1.65,,
2019-12-20 08:00:00,34.41,14.8,174.4,3.6,2.02,,
2019-12-20 09:00:00,40.09,16.2,219.43,5.56,2.09,,
2019-12-20 10:00:00,31.76,10.14,224.52,5.08,1.67,,
2019-12-20 11:00:00,23.66,14.66,216.18,4.67,1.45,,
2019-12-20 12:00:00,23.59,18.32,201.63,3.12,1.27,,
2019-12-20 13:00:00,21.27,23.39,178.58,2.2,0.89,,
2019-12-20 14:00:00,19.22,25.21,171.66,1.04,2.59,,
2019-12-20 15:00:00,23.88,24.54,164.78,0.14,2.43,,
2019-12-20 16:00:00,28.73,26.13,167.97,1.72,2.31,,
2019-12-20 17:00:00,31.8,20.88,173.85,0.8,2.4,,
2019-12-20 18:00:00,39.88,13.85,172.34,2.69,2.77,,
2019-12-20 19:00:00,69.44,15.77,190.96,6.16,3.34,,
2019-12-20 20:00:00,90.31,16.91,250.31,4.31,4.15,,
2019-12-20 21:00:00,103.11,11.15,310.55,13.13,4.05,,
2019-12-20 22:00:00,96.92,16.18,337.12,5.89,5.47,,
2019-12-20 23:00:00,166.22,10.04,360.81,18.67,6.36,,
2019-12-21 00:00:00,149.17,12.46,394.94,8.03,4.51,,
2019-12-21 01:00:00,158.15,9.66,374.96,20.87,3.22,,
2019-12-21 02:00:00,95.15,7.03,353.13,3.47,2.69,,
2019-12-21 03:00:00,60.72,2.18,338.51,0.92,2.58,,
2019-12-21 04:00:00,41.2,47.67,294.96,,2.29,,
2019-12-21 05:00:00,45.1,15.69,257.31,0.34,2.3,,
2019-12-21 06:00:00,37.96,8.07,231.09,2.76,2.19,,
2019-12-21 07:00:00,38.44,9.74,223.98,1.31,2.08,,
2019-12-21 08:00:00,57.11,8.18,237.94,0.77,2.17,,
2019-12-21 09:00:00,40.55,9.32,234.24,0.13,1.93,,
2019-12-21 10:00:00,43.5,11.07,224.89,0.13,1.74,,
2019-12-21 11:00:00,46.17,14.2,230.53,,1.77,,
2019-12-21 12:00:00,38.28,21.04,251.26,3.25,1.09,,
2019-12-21 13:00:00,37.67,17.56,236.8,3.03,1.13,,
2019-12-21 14:00:00,38.7,27.96,241.37,3.29,2.03,,
2019-12-21 15:00:00,32.88,27.04,246.67,1.66,1.82,,
2019-12-21 16:00:00,51.62,21.86,231.92,7.54,2.14,,
2019-12-21 17:00:00,50.98,20.62,213.19,7.97,1.99,,
2019-12-21 18:00:00,73.02,14.44,204.06,3.52,2.69,,
2019-12-21 19:00:00,119.35,22.64,238.53,7.37,4.81,,
2019-12-21 20:00:00,168.52,19.27,393.44,14.96,6.39,,
2019-12-21 21:00:00,120.83,18.73,491.28,30.87,3.38,,
2019-12-21 22:00:00,63.99,14.37,437.69,8.0,2.02,,
2019-12-21 23:00:00,49.2,10.08,371.63,11.13,2.1,,
2019-12-22 00:00:00,47.11,10.54,323.28,0.62,1.89,,
2019-12-22 01:00:00,36.43,10.36,297.68,4.31,1.42,,
2019-12-22 02:00:00,26.59,10.0,298.15,3.04,1.53,,
2019-12-22 03:00:00,23.12,8.95,280.29,0.81,1.67,,
2019-12-22 04:00:00,21.51,10.58,254.51,1.66,1.88,,
2019-12-22 05:00:00,20.69,19.09,231.64,,1.7,,
2019-12-22 06:00:00,21.06,18.73,214.51,2.42,1.28,,
2019-12-22 07:00:00,23.2,5.72,200.31,0.58,1.22,,
2019-12-22 08:00:00,29.16,8.52,229.8,5.25,1.16,,
2019-12-22 09:00:00,32.86,10.65,255.95,4.78,1.04,,
2019-12-22 10:00:00,37.81,9.73,260.19,1.95,1.38,,
2019-12-22 11:00:00,35.52,14.59,257.85,1.87,1.27,,
2019-12-22 12:00:00,41.09,16.96,245.74,3.9,1.53,,
2019-12-22 13:00:00,37.84,21.51,225.92,3.31,1.32,,
2019-12-22 14:00:00,27.26,28.98,224.03,4.23,1.47,,
2019-12-22 15:00:00,26.35,27.48,217.61,2.01,1.74,,
2019-12-22 16:00:00,28.64,28.19,192.95,1.8,1.68,,
2019-12-22 17:00:00,55.16,19.59,172.21,0.8,1.87,,
2019-12-22 18:00:00,65.49,14.65,170.29,2.73,2.47,,
2019-12-22 19:00:00,81.8,13.28,182.89,6.18,3.33,,
2019-12-22 20:00:00,59.06,12.37,207.1,5.8,3.36,,
2019-12-22 21:00:00,54.69,10.87,214.01,9.79,3.13,,
2019-12-22 22:00:00,44.22,11.07,193.44,4.06,2.64,,
2019-12-22 23:00:00,44.16,13.94,162.97,5.29,2.37,,
2019-12-23 00:00:00,,15.18,136.99,3.28,1.77,,
2019-12-23 01:00:00,,12.59,119.66,2.71,1.39,,
2019-12-23 02:00:00,,,122.41,0.64,1.82,,
2019-12-23 03:00:00,,,136.66,,1.61,,
2019-12-23 04:00:00,,,142.04,0.69,1.6,,
2019-12-23 05:00:00,,,152.09,0.17,1.64,,
2019-12-23 06:00:00,,,153.44,5.25,,,
2019-12-23 07:00:00,,,161.93,6.59,,,
2019-12-23 08:00:00,,,183.63,3.85,,,
2019-12-23 09:00:00,,6.24,188.22,4.2,1.65,,
2019-12-23 10:00:00,5.58,6.32,189.37,0.13,0.96,,
2019-12-23 11:00:00,15.1,6.78,198.21,1.96,0.82,,
2019-12-23 12:00:00,13.97,11.32,100.64,4.81,0.62,,
2019-12-23 13:00:00,13.46,12.38,52.98,5.12,0.81,,
2019-12-23 14:00:00,12.91,15.49,150.06,0.46,1.96,,
2019-12-23 15:00:00,12.81,21.73,147.38,0.18,1.99,,
2019-12-23 16:00:00,12.58,21.83,142.8,0.03,1.96,,
2019-12-23 17:00:00,13.76,23.63,140.2,,3.12,,
2019-12-23 18:00:00,23.7,11.24,136.21,4.54,2.89,,
2019-12-23 19:00:00,25.35,10.78,151.57,5.73,3.33,,
2019-12-23 20:00:00,29.95,9.41,208.53,6.66,3.18,,
2019-12-23 21:00:00,17.07,9.49,251.17,8.6,2.23,,
2019-12-23 22:00:00,16.76,9.47,223.8,2.43,2.64,,
2019-12-23 23:00:00,19.09,12.9,213.43,1.34,2.79,,
2019-12-24 00:00:00,14.28,21.25,203.99,5.46,2.52,,
2019-12-24 01:00:00,12.92,8.93,205.99,7.53,2.11,,
2019-12-24 02:00:00,13.21,8.73,214.26,1.01,1.7,,
2019-12-24 03:00:00,11.66,8.21,214.17,0.02,1.84,,
2019-12-24 04:00:00,11.7,11.28,198.3,2.95,1.96,,
2019-12-24 05:00:00,10.66,10.03,191.79,1.53,1.98,,
2019-12-24 06:00:00,9.45,10.86,182.04,2.48,1.29,,
2019-12-24 07:00:00,8.73,13.34,165.41,1.13,1.1,,
2019-12-24 08:00:00,8.61,12.51,169.78,0.33,1.25,,
2019-12-24 09:00:00,10.01,9.64,169.93,,1.43,,
2019-12-24 10:00:00,12.18,7.9,167.97,3.87,1.31,,
2019-12-24 11:00:00,12.59,9.85,185.1,4.4,1.24,,
2019-12-24 12:00:00,12.11,12.1,194.26,3.03,1.16,,
2019-12-24 13:00:00,15.0,14.31,195.39,3.71,1.48,,
2019-12-24 14:00:00,13.49,26.32,200.88,2.32,1.74,,
2019-12-24 15:00:00,12.4,16.93,188.6,5.62,1.81,,
2019-12-24 16:00:00,11.57,15.23,162.59,1.29,1.79,,
2019-12-24 17:00:00,12.51,14.0,144.32,0.86,1.8,,
2019-12-24 18:00:00,15.47,10.84,146.98,0.67,1.7,,
2019-12-24 19:00:00,21.88,12.69,162.5,1.17,1.86,,
2019-12-24 20:00:00,19.27,8.67,176.41,3.85,1.67,,
2019-12-24 21:00:00,19.27,7.01,159.58,7.1,1.97,,
2019-12-24 22:00:00,20.08,6.69,146.37,1.48,,,
2019-12-24 23:00:00,16.7,7.65,153.98,5.42,,,
2019-12-25 00:00:00,18.0,7.26,150.64,5.05,,,
2019-12-25 01:00:00,24.05,7.19,147.7,10.17,,,
2019-12-25 02:00:00,20.59,8.56,161.0,4.21,,,
2019-12-25 03:00:00,18.26,7.12,155.05,7.67,,,
2019-12-25 04:00:00,12.46,10.76,125.98,3.78,,,
2019-12-25 05:00:00,10.03,15.84,114.1,3.71,,,
2019-12-25 06:00:00,9.61,8.5,105.56,2.06,,,
2019-12-25 07:00:00,9.8,5.87,118.3,1.45,,,
2019-12-25 08:00:00,9.81,6.82,148.23,2.0,,,
2019-12-25 09:00:00,9.76,7.04,152.99,0.59,,,
2019-12-25 10:00:00,11.03,3.33,145.93,1.12,,,
2019-12-25 11:00:00,13.59,8.62,165.46,0.19,1.74,,
2019-12-25 12:00:00,15.54,16.58,196.67,6.53,2.07,,
2019-12-25 13:00:00,16.09,14.08,237.18,8.34,2.06,,
2019-12-25 14:00:00,13.98,13.63,282.02,2.48,1.13,,
2019-12-25 15:00:00,11.34,25.4,268.69,4.93,1.05,,
2019-12-25 16:00:00,11.66,24.05,223.52,1.36,0.85,,
2019-12-25 17:00:00,15.02,17.37,186.84,1.05,0.67,,
2019-12-25 18:00:00,19.66,10.5,189.32,11.91,2.06,,
2019-12-25 19:00:00,22.71,11.18,233.03,13.14,2.38,,
2019-12-25 20:00:00,19.87,12.94,281.89,9.54,2.46,,
2019-12-25 21:00:00,17.04,8.72,289.04,15.67,1.5,,
2019-12-25 22:00:00,11.67,8.5,284.1,4.67,1.44,,
2019-12-25 23:00:00,10.04,11.21,254.84,3.68,1.4,,
2019-12-26 00:00:00,9.33,13.08,218.55,1.93,1.52,,
2019-12-26 01:00:00,8.15,10.32,196.86,1.81,1.26,,
2019-12-26 02:00:00,7.92,13.67,185.45,0.2,0.61,,
2019-12-26 03:00:00,7.92,10.19,169.43,,0.22,,
2019-12-26 04:00:00,7.37,9.66,152.96,0.59,0.18,,
2019-12-26 05:00:00,7.58,8.17,145.58,,0.03,,
2019-12-26 06:00:00,8.19,6.21,140.86,3.76,3.61,,
2019-12-26 07:00:00,8.85,34.89,160.77,3.29,3.58,,
2019-12-26 08:00:00,8.91,10.79,199.15,5.09,0.62,,
2019-12-26 09:00:00,8.54,10.59,210.52,4.83,0.06,,
2019-12-26 10:00:00,8.8,12.65,193.71,3.36,0.49,,
2019-12-26 11:00:00,9.82,13.16,174.01,4.4,0.9,,
2019-12-26 12:00:00,10.54,26.87,162.21,6.37,0.7,,
2019-12-26 13:00:00,9.53,16.39,163.26,7.42,0.51,,
2019-12-26 14:00:00,9.7,12.47,169.2,5.92,0.05,,
2019-12-26 15:00:00,9.05,13.96,165.91,6.27,0.0,,
2019-12-26 16:00:00,9.68,13.64,145.79,4.97,0.14,,
2019-12-26 17:00:00,10.43,12.42,130.33,4.5,0.36,,
2019-12-26 18:00:00,26.83,17.1,65.01,4.76,0.07,,
2019-12-26 19:00:00,35.02,38.41,67.09,10.76,0.42,,
2019-12-26 20:00:00,26.07,39.47,182.01,5.22,0.01,,
2019-12-26 21:00:00,20.27,36.77,165.8,3.85,0.0,,
2019-12-26 22:00:00,15.63,35.62,148.6,3.0,0.0,,
2019-12-26 23:00:00,15.45,36.59,139.77,1.9,0.0,,
2019-12-27 00:00:00,13.4,46.55,138.0,1.56,0.0,,
2019-12-27 01:00:00,11.96,40.91,136.19,2.88,0.0,,
2019-12-27 02:00:00,11.21,38.18,134.12,1.44,0.0,,
2019-12-27 03:00:00,10.62,47.12,125.64,0.19,0.0,,
2019-12-27 04:00:00,10.48,41.85,120.73,0.55,0.0,,
2019-12-27 05:00:00,10.48,40.94,110.03,0.14,0.0,,
2019-12-27 06:00:00,11.12,44.22,99.2,5.59,0.0,,
2019-12-27 07:00:00,12.39,43.67,102.29,5.56,0.0,,
2019-12-27 08:00:00,13.28,46.26,109.63,1.85,0.0,,
2019-12-27 09:00:00,14.6,37.57,115.72,2.15,0.0,,
2019-12-27 10:00:00,13.88,46.34,104.38,3.41,0.0,,
2019-12-27 11:00:00,,,,,,,
2019-12-27 12:00:00,,,,,,,
2019-12-27 13:00:00,16.26,50.18,249.44,4.91,0.0,,
2019-12-27 14:00:00,22.11,51.04,242.92,4.19,0.65,,
2019-12-27 15:00:00,21.01,54.44,221.2,6.67,2.0,,
2019-12-27 16:00:00,21.04,51.8,201.26,1.23,0.2,,
2019-12-27 17:00:00,34.91,45.91,195.92,1.33,0.73,,
2019-12-27 18:00:00,34.74,44.69,203.85,3.95,0.94,,
2019-12-27 19:00:00,56.09,41.23,247.69,7.53,1.89,,
2019-12-27 20:00:00,70.89,37.85,323.61,5.93,3.02,,
2019-12-27 21:00:00,59.45,43.62,387.16,14.2,2.8,,
2019-12-27 22:00:00,52.34,34.66,391.8,10.5,3.36,,
2019-12-27 23:00:00,35.45,42.57,363.14,20.26,2.41,,
2019-12-28 00:00:00,30.78,32.62,290.79,5.66,1.79,,
2019-12-28 01:00:00,26.63,34.23,249.2,4.53,1.18,,
2019-12-28 02:00:00,19.78,37.39,242.29,6.46,2.17,,
2019-12-28 03:00:00,17.1,34.26,223.03,4.7,1.89,,
2019-12-28 04:00:00,18.44,37.5,203.43,1.74,1.76,,
2019-12-28 05:00:00,15.54,32.94,176.5,0.21,1.88,,
2019-12-28 06:00:00,15.59,38.64,163.7,0.19,2.66,,
2019-12-28 07:00:00,16.91,30.74,174.08,0.09,2.08,,
2019-12-28 08:00:00,19.34,40.08,193.07,4.01,1.92,,
2019-12-28 09:00:00,25.66,38.18,203.98,4.03,2.6,,
2019-12-28 10:00:00,31.98,37.23,217.98,2.94,4.57,,
2019-12-28 11:00:00,34.0,34.84,245.52,5.52,4.76,,
2019-12-28 12:00:00,31.02,41.73,276.58,4.61,4.41,,
2019-12-28 13:00:00,25.67,43.12,267.95,6.38,4.04,,
2019-12-28 14:00:00,22.6,51.1,226.94,5.16,3.28,,
2019-12-28 15:00:00,20.76,49.14,204.88,4.49,3.04,,
2019-12-28 16:00:00,22.78,56.16,190.51,2.42,2.76,,
2019-12-28 17:00:00,28.44,45.95,179.09,1.41,2.57,,
2019-12-28 18:00:00,53.73,39.88,182.51,1.53,0.18,,
2019-12-28 19:00:00,53.97,32.55,202.22,4.05,0.0,,
2019-12-28 20:00:00,60.99,38.93,214.47,5.5,0.91,,
2019-12-28 21:00:00,62.71,41.07,225.43,12.13,2.55,,
2019-12-28 22:00:00,49.53,34.23,224.6,3.01,4.19,,
2019-12-28 23:00:00,32.87,36.03,220.98,7.2,3.22,,
2019-12-29 00:00:00,27.46,47.24,217.78,2.91,2.99,,
2019-12-29 01:00:00,25.31,31.85,181.81,3.95,2.69,,
2019-12-29 02:00:00,24.34,38.85,157.41,2.26,3.23,,
2019-12-29 03:00:00,21.62,33.89,138.56,1.38,2.46,,
2019-12-29 04:00:00,20.85,35.09,113.07,2.42,3.78,,
2019-12-29 05:00:00,20.59,37.27,101.22,0.57,10.0,,
2019-12-29 06:00:00,16.23,35.09,93.78,0.34,1.36,,
2019-12-29 07:00:00,13.7,40.91,98.07,,1.05,,
2019-12-29 08:00:00,12.5,37.36,90.75,2.01,1.0,,
2019-12-29 09:00:00,16.64,43.49,83.67,1.05,0.82,,
2019-12-29 10:00:00,19.0,42.98,87.11,5.0,1.84,,
2019-12-29 11:00:00,20.98,39.81,92.27,6.61,1.46,,
2019-12-29 12:00:00,24.23,42.77,81.68,2.14,1.5,,
2019-12-29 13:00:00,19.89,50.82,79.31,1.56,1.18,,
2019-12-29 14:00:00,17.5,52.45,72.41,4.46,0.02,,
2019-12-29 15:00:00,26.15,50.21,62.51,5.07,0.07,,
2019-12-29 16:00:00,21.0,60.16,58.27,0.64,0.0,,
2019-12-29 17:00:00,20.3,51.66,63.89,0.82,0.83,,
2019-12-29 18:00:00,36.87,36.61,73.1,2.18,1.35,,
2019-12-29 19:00:00,39.32,33.64,125.97,4.72,1.28,,
2019-12-29 20:00:00,34.12,34.29,200.71,5.97,1.27,,
2019-12-29 21:00:00,32.14,30.02,213.26,12.76,1.65,,
2019-12-29 22:00:00,30.9,25.46,181.4,1.99,1.62,,
2019-12-29 23:00:00,49.15,39.19,156.13,2.21,1.5,,
2019-12-30 00:00:00,48.04,44.91,147.26,3.94,1.54,,
2019-12-30 01:00:00,48.65,41.47,133.68,6.61,1.91,,
2019-12-30 02:00:00,29.42,28.91,145.09,4.71,2.23,,
2019-12-30 03:00:00,18.44,36.71,150.49,3.08,1.91,,
2019-12-30 04:00:00,18.43,37.52,142.26,3.98,1.99,,
2019-12-30 05:00:00,15.55,37.88,131.7,1.29,1.87,,
2019-12-30 06:00:00,13.93,41.44,123.16,5.98,1.09,,
2019-12-30 07:00:00,14.42,40.96,105.56,4.27,1.35,,
2019-12-30 08:00:00,14.58,43.16,107.0,0.49,0.91,,
2019-12-30 09:00:00,14.53,40.72,109.65,0.19,0.76,,
2019-12-30 10:00:00,15.26,42.5,104.96,3.62,1.23,,
2019-12-30 11:00:00,17.57,38.58,106.68,1.84,1.32,,
2019-12-30 12:00:00,20.8,38.84,109.92,4.62,1.03,,
2019-12-30 13:00:00,22.45,42.38,121.17,5.88,0.33,,
2019-12-30 14:00:00,20.85,45.43,110.78,6.04,0.67,,
2019-12-30 15:00:00,23.17,51.87,100.49,5.87,0.49,,
2019-12-30 16:00:00,24.0,55.99,101.0,2.5,0.42,,
2019-12-30 17:00:00,27.27,55.55,95.4,3.67,0.75,,
2019-12-30 18:00:00,43.69,39.77,95.74,4.7,0.73,,
2019-12-30 19:00:00,55.77,35.48,111.73,5.54,0.92,,
2019-12-30 20:00:00,65.7,32.96,134.49,7.55,0.98,,
2019-12-30 21:00:00,84.25,36.33,141.69,17.14,1.68,,
2019-12-30 22:00:00,96.4,41.62,165.28,5.89,5.02,,
2019-12-30 23:00:00,69.41,40.64,181.85,14.68,3.83,,
2019-12-31 00:00:00,54.3,41.14,162.27,9.87,3.68,,
2019-12-31 01:00:00,49.32,41.7,144.11,14.38,3.85,,
2019-12-31 02:00:00,70.65,39.91,142.93,4.36,5.05,,
2019-12-31 03:00:00,66.08,31.49,135.41,7.92,4.2,,
2019-12-31 04:00:00,35.26,37.8,130.65,3.42,2.08,,
2019-12-31 05:00:00,23.49,34.81,111.78,2.88,1.22,,
2019-12-31 06:00:00,20.08,33.57,95.44,2.76,1.48,,
2019-12-31 07:00:00,21.32,37.14,75.74,0.72,1.62,,
2019-12-31 08:00:00,19.0,32.65,72.02,5.22,1.1,,
2019-12-31 09:00:00,21.74,34.97,85.21,3.79,2.72,,
2019-12-31 10:00:00,32.8,41.4,80.78,0.61,3.11,,
2019-12-31 11:00:00,48.92,39.84,60.12,1.07,2.56,,
2019-12-31 12:00:00,65.7,36.57,83.54,4.47,1.05,,
2019-12-31 13:00:00,50.37,46.66,464.4,5.24,1.04,,
2019-12-31 14:00:00,38.15,51.73,434.14,5.99,6.21,,
2019-12-31 15:00:00,33.99,55.74,398.5,7.13,4.87,,
2019-12-31 16:00:00,35.27,64.29,325.71,5.81,4.62,,
2019-12-31 17:00:00,37.3,41.35,272.9,3.0,5.26,,
2019-12-31 18:00:00,89.2,37.77,217.75,7.94,4.77,,
2019-12-31 19:00:00,213.59,42.88,241.37,25.31,2.61,,
2019-12-31 20:00:00,278.95,31.89,353.13,21.09,1.12,,
2019-12-31 21:00:00,247.45,37.36,448.63,46.97,0.34,,
2019-12-31 22:00:00,253.42,41.35,464.36,16.16,0.0,,
2019-12-31 23:00:00,256.0,34.92,473.65,39.57,0.0,,
2020-01-01 00:00:00,281.32,42.17,468.83,17.54,0.0,,
2020-01-01 01:00:00,313.43,40.52,499.82,47.94,0.0,,
2020-01-01 02:00:00,337.12,38.51,490.5,20.74,0.0,,
2020-01-01 03:00:00,314.78,37.43,466.83,43.04,0.0,,
2020-01-01 04:00:00,264.5,37.02,417.51,9.8,0.0,,
2020-01-01 05:00:00,205.47,34.38,384.13,14.74,0.0,,
2020-01-01 06:00:00,171.6,38.24,379.32,5.46,0.0,,
2020-01-01 07:00:00,125.45,39.57,435.26,8.04,0.0,,
2020-01-01 08:00:00,93.9,31.75,367.16,5.51,0.0,,
2020-01-01 09:00:00,97.18,34.52,314.28,1.25,0.0,,
