Date,City,AQI
2019-11-08,Thiruvananthapuram,65.0
2019-11-08,Visakhapatnam,167.0
2019-11-09,Ahmedabad,118.0
2019-11-09,Amaravati,167.0
2019-11-09,Amritsar,73.0
2019-11-09,Bengaluru,115.0
2019-11-09,Brajrajnagar,121.0
2019-11-09,Chennai,271.0
2019-11-09,Coimbatore,70.0
2019-11-09,Delhi,320.0
2019-11-09,Gurugram,314.0
2019-11-09,Guwahati,83.0
2019-11-09,Hyderabad,163.0
2019-11-09,Jaipur,219.0
2019-11-09,Jorapokhar,114.0
2019-11-09,Kolkata,66.0
2019-11-09,Lucknow,330.0
2019-11-09,Mumbai,83.0
2019-11-09,Patna,326.0
2019-11-09,Talcher,209.0
2019-11-09,Thiruvananthapuram,65.0
2019-11-09,Visakhapatnam,156.0
2019-11-10,Ahmedabad,117.0
2019-11-10,Amaravati,123.0
2019-11-10,Amritsar,144.0
2019-11-10,Bengaluru,96.0
2019-11-10,Brajrajnagar,98.0
2019-11-10,Chennai,230.0
2019-11-10,Coimbatore,68.0
2019-11-10,Delhi,341.0
2019-11-10,Gurugram,301.0
2019-11-10,Guwahati,49.0
2019-11-10,Hyderabad,169.0
2019-11-10,Jaipur,188.0
2019-11-10,Jorapokhar,97.0
2019-11-10,Kolkata,52.0
2019-11-10,Lucknow,262.0
2019-11-10,Mumbai,97.0
2019-11-10,Patna,263.0
2019-11-10,Talcher,75.0
2019-11-10,Thiruvananthapuram,63.0
2019-11-10,Visakhapatnam,109.0
2019-11-11,Ahmedabad,155.0
2019-11-11,Amaravati,76.0
2019-11-11,Amritsar,160.0
2019-11-11,Bengaluru,125.0
2019-11-11,Brajrajnagar,103.0
2019-11-11,Chennai,188.0
2019-11-11,Coimbatore,82.0
2019-11-11,Delhi,378.0
2019-11-11,Gurugram,342.0
2019-11-11,Guwahati,37.0
2019-11-11,Hyderabad,114.0
2019-11-11,Jaipur,192.0
2019-11-11,Jorapokhar,105.0
2019-11-11,Kolkata,73.0
2019-11-11,Lucknow,247.0
2019-11-11,Mumbai,108.0
2019-11-11,Patna,284.0
2019-11-11,Talcher,106.0
2019-11-11,Thiruvananthapuram,69.0
2019-11-11,Visakhapatnam,105.0
2019-11-12,Ahmedabad,228.0
2019-11-12,Amaravati,94.0
2019-11-12,Amritsar,292.0
2019-11-12,Bengaluru,102.0
2019-11-12,Brajrajnagar,116.0
2019-11-12,Chennai,75.0
2019-11-12,Coimbatore,74.0
2019-11-12,Delhi,479.0
2019-11-12,Gurugram,430.0
2019-11-12,Guwahati,98.0
2019-11-12,Hyderabad,104.0
2019-11-12,Jaipur,210.0
2019-11-12,Jorapokhar,118.0
2019-11-12,Kolkata,179.0
2019-11-12,Lucknow,309.0
2019-11-12,Mumbai,135.0
2019-11-12,Patna,311.0
2019-11-12,Talcher,170.0
2019-11-12,Thiruvananthapuram,72.0
2019-11-12,Visakhapatnam,103.0
2019-11-13,Ahmedabad,242.0
2019-11-13,Amaravati,73.0
2019-11-13,Amritsar,358.0
2019-11-13,Bengaluru,80.0
2019-11-13,Brajrajnagar,126.0
2019-11-13,Chennai,78.0
2019-11-13,Coimbatore,84.0
2019-11-13,Delhi,532.0
2019-11-13,Gurugram,503.0
2019-11-13,Guwahati,132.0
2019-11-13,Hyderabad,124.0
2019-11-13,Jaipur,253.0
2019-11-13,Jorapokhar,137.0
2019-11-13,Kolkata,241.0
2019-11-13,Lucknow,363.0
2019-11-13,Mumbai,140.0
2019-11-13,Patna,360.0
2019-11-13,Talcher,183.0
2019-11-13,Thiruvananthapuram,97.0
2019-11-13,Visakhapatnam,97.0
2019-11-14,Ahmedabad,142.0
2019-11-14,Amaravati,102.0
2019-11-14,Amritsar,333.0
2019-11-14,Bengaluru,79.0
2019-11-14,Brajrajnagar,123.0
2019-11-14,Chennai,91.0
2019-11-14,Coimbatore,67.0
2019-11-14,Delhi,537.0
2019-11-14,Gurugram,488.0
2019-11-14,Guwahati,105.0
2019-11-14,Hyderabad,125.0
2019-11-14,Jaipur,278.0
2019-11-14,Jorapokhar,217.0
2019-11-14,Kolkata,196.0
2019-11-14,Lucknow,356.0
2019-11-14,Mumbai,128.0
2019-11-14,Patna,395.0
2019-11-14,Talcher,183.0
2019-11-14,Thiruvananthapuram,134.0
2019-11-14,Visakhapatnam,108.0
2019-11-15,Ahmedabad,129.0
2019-11-15,Amaravati,100.0
2019-11-15,Amritsar,316.0
2019-11-15,Bengaluru,77.0
2019-11-15,Brajrajnagar,125.0
2019-11-15,Chennai,97.0
2019-11-15,Coimbatore,70.0
2019-11-15,Delhi,596.0
2019-11-15,Gurugram,550.0
2019-11-15,Guwahati,156.0
2019-11-15,Hyderabad,131.0
2019-11-15,Jaipur,242.0
2019-11-15,Jorapokhar,169.0
2019-11-15,Kolkata,186.0
2019-11-15,Lucknow,341.0
2019-11-15,Mumbai,131.0
2019-11-15,Patna,347.0
2019-11-15,Talcher,199.0
2019-11-15,Thiruvananthapuram,113.0
2019-11-15,Visakhapatnam,110.0
2019-11-16,Ahmedabad,128.0
2019-11-16,Amaravati,116.0
2019-11-16,Amritsar,255.0
2019-11-16,Bengaluru,80.0
2019-11-16,Brajrajnagar,113.0
2019-11-16,Chennai,59.0
2019-11-16,Coimbatore,67.0
2019-11-16,Delhi,428.0
2019-11-16,Gurugram,426.0
2019-11-16,Guwahati,136.0
2019-11-16,Hyderabad,140.0
2019-11-16,Jaipur,168.0
2019-11-16,Jorapokhar,177.0
2019-11-16,Kolkata,183.0
2019-11-16,Lucknow,326.0
2019-11-16,Mumbai,146.0
2019-11-16,Patna,315.0
2019-11-16,Talcher,207.0
2019-11-16,Thiruvananthapuram,155.0
2019-11-16,Visakhapatnam,110.0
2019-11-17,Ahmedabad,141.0
2019-11-17,Amaravati,127.0
2019-11-17,Amritsar,107.0
2019-11-17,Bengaluru,77.0
2019-11-17,Brajrajnagar,128.0
2019-11-17,Chennai,125.0
2019-11-17,Coimbatore,68.0
2019-11-17,Delhi,268.0
2019-11-17,Gurugram,237.0
2019-11-17,Guwahati,167.0
2019-11-17,Hyderabad,128.0
2019-11-17,Jaipur,120.0
2019-11-17,Jorapokhar,156.0
2019-11-17,Kolkata,212.0
2019-11-17,Lucknow,285.0
2019-11-17,Mumbai,148.0
2019-11-17,Patna,320.0
2019-11-17,Talcher,201.0
2019-11-17,Thiruvananthapuram,58.0
2019-11-17,Visakhapatnam,95.0
2019-11-18,Ahmedabad,148.0
2019-11-18,Amaravati,89.0
2019-11-18,Amritsar,168.0
2019-11-18,Bengaluru,75.0
2019-11-18,Brajrajnagar,184.0
2019-11-18,Chennai,89.0
2019-11-18,Coimbatore,
2019-11-18,Delhi,245.0
2019-11-18,Gurugram,141.0
2019-11-18,Guwahati,229.0
2019-11-18,Hyderabad,141.0
2019-11-18,Jaipur,104.0
2019-11-18,Jorapokhar,212.0
2019-11-18,Kolkata,236.0
2019-11-18,Lucknow,185.0
2019-11-18,Mumbai,140.0
2019-11-18,Patna,325.0
2019-11-18,Talcher,200.0
2019-11-18,Thiruvananthapuram,68.0
2019-11-18,Visakhapatnam,82.0
2019-11-19,Ahmedabad,142.0
2019-11-19,Amaravati,100.0
2019-11-19,Amritsar,325.0
2019-11-19,Bengaluru,74.0
2019-11-19,Brajrajnagar,132.0
2019-11-19,Chennai,62.0
2019-11-19,Coimbatore,55.0
2019-11-19,Delhi,251.0
2019-11-19,Gurugram,150.0
2019-11-19,Guwahati,288.0
2019-11-19,Hyderabad,167.0
2019-11-19,Jaipur,97.0
2019-11-19,Jorapokhar,168.0
2019-11-19,Kolkata,245.0
2019-11-19,Lucknow,227.0
2019-11-19,Mumbai,187.0
2019-11-19,Patna,311.0
2019-11-19,Talcher,182.0
2019-11-19,Thiruvananthapuram,73.0
2019-11-19,Visakhapatnam,108.0
2019-11-20,Ahmedabad,129.0
2019-11-20,Amaravati,164.0
2019-11-20,Amritsar,231.0
2019-11-20,Bengaluru,77.0
2019-11-20,Brajrajnagar,120.0
2019-11-20,Chennai,47.0
2019-11-20,Coimbatore,68.0
2019-11-20,Delhi,317.0
2019-11-20,Gurugram,227.0
2019-11-20,Guwahati,124.0
2019-11-20,Hyderabad,180.0
2019-11-20,Jaipur,114.0
2019-11-20,Jorapokhar,219.0
2019-11-20,Kolkata,237.0
2019-11-20,Lucknow,304.0
2019-11-20,Mumbai,209.0
2019-11-20,Patna,334.0
2019-11-20,Talcher,157.0
2019-11-20,Thiruvananthapuram,80.0
2019-11-20,Visakhapatnam,151.0
2019-11-21,Ahmedabad,129.0
2019-11-21,Amaravati,138.0
2019-11-21,Amritsar,282.0
2019-11-21,Bengaluru,86.0
2019-11-21,Brajrajnagar,132.0
2019-11-21,Chennai,57.0
2019-11-21,Coimbatore,61.0
2019-11-21,Delhi,376.0
2019-11-21,Gurugram,320.0
2019-11-21,Guwahati,113.0
2019-11-21,Hyderabad,175.0
2019-11-21,Jaipur,120.0
2019-11-21,Jorapokhar,252.0
2019-11-21,Kolkata,215.0
2019-11-21,Lucknow,330.0
2019-11-21,Mumbai,209.0
2019-11-21,Patna,332.0
2019-11-21,Talcher,183.0
2019-11-21,Thiruvananthapuram,72.0
2019-11-21,Visakhapatnam,113.0
2019-11-22,Ahmedabad,115.0
2019-11-22,Amaravati,93.0
2019-11-22,Amritsar,151.0
2019-11-22,Bengaluru,96.0
2019-11-22,Brajrajnagar,155.0
2019-11-22,Chennai,59.0
2019-11-22,Coimbatore,67.0
2019-11-22,Delhi,376.0
2019-11-22,Gurugram,332.0
2019-11-22,Guwahati,135.0
2019-11-22,Hyderabad,161.0
2019-11-22,Jaipur,132.0
2019-11-22,Jorapokhar,
2019-11-22,Kolkata,197.0
2019-11-22,Lucknow,327.0
2019-11-22,Mumbai,203.0
2019-11-22,Patna,375.0
2019-11-22,Talcher,214.0
2019-11-22,Thiruvananthapuram,76.0
2019-11-22,Visakhapatnam,106.0
2019-11-23,Ahmedabad,124.0
2019-11-23,Amaravati,98.0
2019-11-23,Amritsar,83.0
2019-11-23,Bengaluru,89.0
2019-11-23,Brajrajnagar,211.0
2019-11-23,Chennai,66.0
2019-11-23,Coimbatore,69.0
2019-11-23,Delhi,330.0
2019-11-23,Gurugram,302.0
2019-11-23,Guwahati,150.0
2019-11-23,Hyderabad,159.0
2019-11-23,Jaipur,180.0
2019-11-23,Jorapokhar,
2019-11-23,Kolkata,236.0
2019-11-23,Lucknow,329.0
2019-11-23,Mumbai,180.0
2019-11-23,Patna,403.0
2019-11-23,Talcher,244.0
2019-11-23,Thiruvananthapuram,92.0
2019-11-23,Visakhapatnam,114.0
2019-11-24,Ahmedabad,120.0
2019-11-24,Amaravati,137.0
2019-11-24,Amritsar,75.0
2019-11-24,Bengaluru,85.0
2019-11-24,Brajrajnagar,155.0
2019-11-24,Chennai,110.0
2019-11-24,Coimbatore,73.0
2019-11-24,Delhi,263.0
2019-11-24,Gurugram,233.0
2019-11-24,Guwahati,185.0
2019-11-24,Hyderabad,156.0
2019-11-24,Jaipur,160.0
2019-11-24,Jorapokhar,166.0
2019-11-24,Kolkata,287.0
2019-11-24,Lucknow,291.0
2019-11-24,Mumbai,175.0
2019-11-24,Patna,394.0
2019-11-24,Talcher,229.0
2019-11-24,Thiruvananthapuram,81.0
2019-11-24,Visakhapatnam,136.0
2019-11-25,Ahmedabad,124.0
2019-11-25,Amaravati,168.0
2019-11-25,Amritsar,110.0
2019-11-25,Bengaluru,84.0
2019-11-25,Brajrajnagar,
2019-11-25,Chennai,85.0
2019-11-25,Coimbatore,72.0
2019-11-25,Delhi,270.0
2019-11-25,Gurugram,235.0
2019-11-25,Guwahati,180.0
2019-11-25,Hyderabad,163.0
2019-11-25,Jaipur,164.0
2019-11-25,Jorapokhar,266.0
2019-11-25,Kolkata,278.0
2019-11-25,Lucknow,270.0
2019-11-25,Mumbai,184.0
2019-11-25,Patna,401.0
2019-11-25,Talcher,
2019-11-25,Thiruvananthapuram,77.0
2019-11-25,Visakhapatnam,
2019-11-26,Ahmedabad,143.0
2019-11-26,Amaravati,173.0
2019-11-26,Amritsar,111.0
2019-11-26,Bengaluru,89.0
2019-11-26,Brajrajnagar,181.0
2019-11-26,Chennai,77.0
2019-11-26,Coimbatore,78.0
2019-11-26,Delhi,282.0
2019-11-26,Gurugram,243.0
2019-11-26,Guwahati,198.0
2019-11-26,Hyderabad,176.0
2019-11-26,Jaipur,123.0
2019-11-26,Jorapokhar,310.0
2019-11-26,Kolkata,279.0
2019-11-26,Lucknow,368.0
2019-11-26,Mumbai,190.0
2019-11-26,Patna,424.0
2019-11-26,Talcher,
2019-11-26,Thiruvananthapuram,93.0
2019-11-26,Visakhapatnam,226.0
2019-11-27,Ahmedabad,122.0
2019-11-27,Amaravati,149.0
2019-11-27,Amritsar,63.0
2019-11-27,Bengaluru,90.0
2019-11-27,Brajrajnagar,183.0
2019-11-27,Chennai,79.0
2019-11-27,Coimbatore,66.0
2019-11-27,Delhi,157.0
2019-11-27,Gurugram,120.0
2019-11-27,Guwahati,179.0
2019-11-27,Hyderabad,153.0
2019-11-27,Jaipur,109.0
2019-11-27,Jorapokhar,307.0
2019-11-27,Kolkata,276.0
2019-11-27,Lucknow,371.0
2019-11-27,Mumbai,171.0
2019-11-27,Patna,435.0
2019-11-27,Talcher,
2019-11-27,Thiruvananthapuram,82.0
2019-11-27,Visakhapatnam,166.0
2019-11-28,Ahmedabad,119.0
2019-11-28,Amaravati,119.0
2019-11-28,Amritsar,44.0
2019-11-28,Bengaluru,84.0
2019-11-28,Brajrajnagar,
2019-11-28,Chennai,63.0
2019-11-28,Coimbatore,59.0
2019-11-28,Delhi,104.0
2019-11-28,Gurugram,94.0
2019-11-28,Guwahati,135.0
2019-11-28,Hyderabad,146.0
2019-11-28,Jaipur,181.0
2019-11-28,Jorapokhar,303.0
2019-11-28,Kolkata,207.0
2019-11-28,Lucknow,377.0
2019-11-28,Mumbai,146.0
2019-11-28,Patna,400.0
2019-11-28,Talcher,
2019-11-28,Thiruvananthapuram,80.0
2019-11-28,Visakhapatnam,108.0
2019-11-29,Ahmedabad,104.0
2019-11-29,Amaravati,77.0
2019-11-29,Amritsar,47.0
2019-11-29,Bengaluru,75.0
2019-11-29,Brajrajnagar,224.0
2019-11-29,Chennai,53.0
2019-11-29,Coimbatore,67.0
2019-11-29,Delhi,90.0
2019-11-29,Gurugram,75.0
2019-11-29,Guwahati,187.0
2019-11-29,Hyderabad,128.0
2019-11-29,Jaipur,155.0
2019-11-29,Jorapokhar,237.0
2019-11-29,Kolkata,200.0
2019-11-29,Lucknow,253.0
2019-11-29,Mumbai,162.0
2019-11-29,Patna,379.0
2019-11-29,Talcher,243.0
2019-11-29,Thiruvananthapuram,81.0
2019-11-29,Visakhapatnam,88.0
2019-11-30,Ahmedabad,102.0
2019-11-30,Amaravati,80.0
2019-11-30,Amritsar,61.0
2019-11-30,Bengaluru,74.0
2019-11-30,Brajrajnagar,227.0
2019-11-30,Chennai,48.0
2019-11-30,Coimbatore,56.0
2019-11-30,Delhi,176.0
2019-11-30,Gurugram,104.0
2019-11-30,Guwahati,230.0
2019-11-30,Hyderabad,127.0
2019-11-30,Jaipur,118.0
2019-11-30,Jorapokhar,219.0
2019-11-30,Kolkata,245.0
2019-11-30,Lucknow,174.0
2019-11-30,Mumbai,182.0
2019-11-30,Patna,355.0
2019-11-30,Talcher,302.0
2019-11-30,Thiruvananthapuram,72.0
