Datetime,PM10 (ug/m3),PM2.5 (ug/m3),NOx (ppb),CO (mg/m3),Ozone ()
2019-11-02 13:00:00,579.26,436.15,22.25,1.43,74.95
2019-11-02 14:00:00,519.95,424.09,21.13,1.29,77.2
2019-11-02 15:00:00,563.86,427.09,22.92,1.54,78.94
2019-11-02 16:00:00,561.81,445.59,17.52,1.33,61.76
2019-11-02 17:00:00,556.32,446.25,16.96,1.68,44.91
2019-11-02 18:00:00,780.06,655.47,17.96,2.17,39.41
2019-11-02 19:00:00,885.75,772.7,19.08,2.57,29.39
2019-11-02 20:00:00,974.15,950.3,22.13,2.61,21.49
2019-11-02 21:00:00,934.29,849.8,25.24,2.56,15.7
2019-11-02 22:00:00,880.64,785.87,24.06,2.51,9.01
2019-11-02 23:00:00,813.89,741.87,20.33,2.39,6.84
2019-11-03 00:00:00,825.95,733.87,33.68,2.58,6.53
2019-11-03 01:00:00,814.91,739.22,31.33,2.35,6.39
2019-11-03 02:00:00,777.81,666.85,25.06,2.11,6.41
2019-11-03 03:00:00,693.12,575.14,24.36,1.95,6.33
2019-11-03 04:00:00,695.07,574.78,23.74,2.21,6.7
2019-11-03 05:00:00,736.26,560.17,19.27,1.89,7.54
2019-11-03 06:00:00,621.91,524.9,16.72,1.75,9.51
2019-11-03 07:00:00,813.76,693.13,16.34,2.36,11.37
2019-11-03 08:00:00,972.86,865.81,15.41,2.44,9.45
2019-11-03 09:00:00,905.33,764.74,18.65,2.2,13.17
2019-11-03 10:00:00,884.93,804.05,20.28,2.48,18.21
2019-11-03 11:00:00,,951.9,18.98,2.81,30.33
2019-11-03 12:00:00,,995.25,18.3,2.7,39.25
2019-11-03 13:00:00,995.23,964.78,20.22,3.23,36.31
2019-11-03 14:00:00,,,18.87,2.94,34.27
2019-11-03 15:00:00,925.09,874.59,15.86,1.79,39.65
2019-11-03 16:00:00,697.06,584.76,14.69,1.13,39.87
2019-11-03 17:00:00,333.61,293.86,13.66,0.73,39.15
2019-11-03 18:00:00,327.53,270.47,13.55,0.78,26.8
2019-11-03 19:00:00,336.73,274.63,15.93,0.92,20.22
2019-11-03 20:00:00,345.15,278.37,20.36,1.18,11.63
2019-11-03 21:00:00,385.26,306.85,24.72,1.24,10.66
2019-11-03 22:00:00,353.73,266.29,16.65,0.9,13.88
2019-11-03 23:00:00,230.67,176.82,14.86,0.68,12.69
2019-11-04 00:00:00,207.76,150.88,15.78,0.74,9.18
2019-11-04 01:00:00,208.42,155.8,19.0,0.68,9.24
2019-11-04 02:00:00,200.15,146.5,16.74,0.67,9.45
2019-11-04 03:00:00,190.64,139.91,17.39,0.72,8.45
2019-11-04 04:00:00,199.16,137.01,19.31,0.81,9.07
2019-11-04 05:00:00,205.84,150.35,20.45,0.84,8.79
2019-11-04 06:00:00,255.16,188.3,18.5,0.93,8.81
2019-11-04 07:00:00,360.11,258.58,19.28,1.21,9.13
2019-11-04 08:00:00,490.45,387.5,17.89,1.5,9.14
2019-11-04 09:00:00,591.9,474.89,18.17,1.8,12.06
2019-11-04 10:00:00,664.42,585.47,18.37,1.61,19.86
2019-11-04 11:00:00,560.87,516.12,17.17,1.41,28.77
2019-11-04 12:00:00,446.27,387.22,17.33,1.12,45.37
2019-11-04 13:00:00,440.75,370.74,18.11,1.06,57.64
2019-11-04 14:00:00,438.72,373.35,20.58,0.98,74.41
2019-11-04 15:00:00,402.43,343.51,15.23,0.92,96.24
2019-11-04 16:00:00,349.68,309.73,14.03,0.73,89.46
2019-11-04 17:00:00,224.69,197.9,14.24,0.52,75.97
2019-11-04 18:00:00,192.45,150.03,17.03,0.6,61.54
2019-11-04 19:00:00,221.06,161.14,20.32,0.69,48.82
2019-11-04 20:00:00,177.83,131.32,31.79,0.85,27.43
